,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
50,93,article,1509024,Geoffrey M. Draper and Robert R. Kessler and Richard F. Riesenfeld,,,,A History of Computing Course with a Technical Focus,458--462,,5.0,"computer science education, history of computing",10.1145/1539024.1509024,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
54,98,article,2732157,Paul  Gestwicki and Brian  McNely,,,,Interdisciplinary Projects in the Academic Studio,8:1--8:24,8.0,24.0,"Higher education, Scrum, computer science education, design-based research, interdisciplinary education, project-based learning, sociocultural cognition theory",10.1145/2732157,Trans. Comput. Educ.,March 2016,16,2,,March,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
57,103,article,2538925,Fredrik  Heintz and Inger  Erlander Klein,,,,The Design of Sweden's First 5-year Computer Science and Software Engineering Program,199--204,,6.0,"computational thinking, computer science education, software engineering",10.1145/2538862.2538925,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education theory
60,111,article,159593,Mitchel  Resnick,,,,Behavior Construction Kits,64--71,,8.0,education,10.1145/159544.159593,Commun. ACM,July 1993,36,7,,July,1993.0,0001-0782,,,,,,ACM,"New York, NY, USA",computing education theory
3,13,article,2591715,Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner,,,,Identifying Computer Science Self-regulated Learning Strategies,291--296,,6.0,"computer science education, self-regulation strategies",10.1145/2591708.2591715,,,,,,,2014.0,,Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education,ITiCSE '14,,978-1-4503-2833-3,"Uppsala, Sweden",ACM,"New York, NY, USA",computing education strategies
11,24,article,2870663,Fabiane Barreto Vavassori Benitti and Leonardo  Sommariva,,,,Evaluation of a Game Used to Teach Usability to Undergraduate Students in Computer Science,21--39,,19.0,"educational games, learning strategies, serious games, teaching strategies, usability engineering",,J. Usability Studies,Nov-15,11,1,,November,2015.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing education strategies
13,30,article,1121356,Michael R. Wick and Daniel E. Stevenson,,,,On Using Scheme to Introduce Prolog,41--45,,5.0,"computer science education, programming languages, prolog, scheme, teaching strategy",10.1145/1124706.1121356,SIGCSE Bull.,Mar-06,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
15,32,article,2844608,Cindy  Norris,,,,An Examination of Layers of Quizzing in Two Computer Systems Courses,48--53,,6.0,"computer science education, quizzing",10.1145/2839509.2844608,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
16,33,article,2037282,Teresa  Dahlberg and Tiffany  Barnes and Kim  Buch and Audrey  Rorrer,,,,The STARS Alliance: Viable Strategies for Broadening Participation in Computing,18:1--18:25,18.0,25.0,"BPC, Broadening participation in computing, computing curricula, education, service-learning",10.1145/2037276.2037282,Trans. Comput. Educ.,Oct-11,11,3,,October,2011.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education strategies
18,35,article,1822167,Ulrich  Kiesmueller and Sebastian  Sossalla and Torsten  Brinda and Korbinian  Riedhammer,,,,Online Identification of Learner Problem Solving Strategies Using Pattern Recognition Methods,274--278,,5.0,"algorithms, computer science education, pattern recognition, problem solving strategies, secondary education, tool-based analysis",10.1145/1822090.1822167,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing education strategies
20,37,article,1806515,Veronica  Dahl and Diana  Cukierman and Gemma  Bel-Enguix and M. Dolores Jim&#233;nez-Lopez,,,,Logic Programming: Teaching Strategies for Students with No Programming Background,2:1--2:5,2.0,5.0,"computer and information science education, computers and education, humanities, literacy, logic programming",10.1145/1806512.1806515,,,,,,,2010.0,,Proceedings of the 15th Western Canadian Conference on Computing Education,WCCCE '10,,978-1-4503-0098-8,"Kelowna, British Columbia, Canada",ACM,"New York, NY, USA",computing education strategies
21,40,article,3011808,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Student's Choice of Assessment,22:1--22:10,22.0,10.0,"Education, assessment, educational patterns",10.1145/3011784.3011808,,,,,,,2016.0,,Proceedings of the 21st European Conference on Pattern Languages of Programs,EuroPlop '16,,978-1-4503-4074-8,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing education strategies
23,42,article,2247583,Daniela  Damian and Marian  Petre and Mariel  Miller and Allyson F. Hadwin,,,,Instructional Strategies in the EGRET Course: An International Graduate Forum on Becoming a Researcher,41--45,,5.0,"computer science education, computer-supported collaborative learning, instructional design",10.1145/2247569.2247583,,,,,,,2012.0,,Proceedings of the Seventeenth Western Canadian Conference on Computing Education,WCCCE '12,,978-1-4503-1407-7,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA",computing education strategies
31,60,article,2855353,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Assessment-driven Course Design Foundational Patterns,31:1--31:13,31.0,13.0,"assessment, education, educational patterns",10.1145/2855321.2855353,,,,,,,2015.0,,Proceedings of the 20th European Conference on Pattern Languages of Programs,EuroPLoP '15,,978-1-4503-3847-9,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing education strategies
32,61,article,2807715,Olgun  Sadik,,,,Encouraging Women to Become CS Teachers,57--61,,5.0,"Computers science education, gender, teacher education, women",10.1145/2807565.2807715,,,,,,,2015.0,,Proceedings of the Third Conference on GenderIT,GenderIT '15,,978-1-4503-3596-6,"Philadelphia, PA, USA",ACM,"New York, NY, USA",computing education strategies
34,63,article,1140187,Stefan A. Robila and James W. Ragucci,,,,Don'T Be a Phish: Steps in User Education,237--241,,5.0,"computer education, education, information security, phishing",10.1145/1140123.1140187,SIGCSE Bull.,Sep-06,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
43,73,article,274379,Guey-Fa  Chiou and Cheng-Chi  Wu,,,,A Computer Curriculum Guideline for Junior High Schools in Taiwan: Its Impacts and Issues,21--29,,9.0,"computer curriculum, computer education, computer education policy, curriculum guideline",10.1145/274375.274379,SIGCUE Outlook,Jan./April 1997,25,2-Jan,,January,1997.0,0163-5735,,,,,,ACM,"New York, NY, USA",computing education strategies
44,77,article,2382397,Yinghui  Shi and Zongkai  Yang and Harrison Hao Yang and Sanya  Liu,,,,The Impact of Interactive Whiteboards on Education,213--218,,6.0,"instructional effectiveness, interactive whiteboards, language teaching and learning, mathematics education, science education, teaching strategies and methods",10.1145/2382336.2382397,,,,,,,2012.0,,Proceedings of the 4th International Conference on Internet Multimedia Computing and Service,ICIMCS '12,,978-1-4503-1600-2,"Wuhan, China",ACM,"New York, NY, USA",computing education strategies
45,81,article,2538970,Marisa  Exter,,,,Comparing Educational Experiences and On-the-job Needs of Educational Software Designers,355--360,,6.0,"computer science education, computing education, curriculum, informal education, non-formal education, pedagogy",10.1145/2538862.2538970,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
66,113,article,3017730,J. Michael Fitzpatrick and &#193;kos  L&#233;deczi and Gayathri  Narasimham and Lee  Lafferty and R&#233;al  Labrie and Paul T. Mielke and Aatish  Kumar and Katherine A. Brady,,,,Lessons Learned in the Design and Delivery of an Introductory Programming MOOC,219--224,,6.0,"MATLAB, MOOC, computer programming, computer science education",10.1145/3017680.3017730,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing accessibility education
70,125,article,1594402,Ulrich  Kiesm&#252;ller,,,,Diagnosing Learners&Rsquo; Problem-Solving Strategies Using Learning Environments with Algorithmic Problems in Secondary Education,17:1--17:26,17.0,26.0,"Kara, Secondary computer science education, algorithms, didactics of informatics, problem solving process, tool-based analysis",10.1145/1594399.1594402,Trans. Comput. Educ.,September 2009,9,3,,September,2009.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing accessibility education
78,138,article,1989627,Youry  Khmelevsky and Leif  Burge and Michael  Govorov and Ga&#233;tan  Hains,,,,Distance Learning Components in CS and GIS Courses,17--21,,5.0,"GIS, computer science, distance learning teaching strategies, materials and tools for distance learning",10.1145/1989622.1989627,,,,,,,2011.0,,Proceedings of the 16th Western Canadian Conference on Computing Education,WCCCE '11,,978-1-4503-0792-5,"Prince George, British Columbia, Canada",ACM,"New York, NY, USA",computing accessibility education
84,145,article,1595361,Ulrich  Kiesm&#252;ller,,,,Diagnosing Learners' Problem Solving Strategies Using Learning Environments with Algorithmic Problems in Secondary Education,16--24,,9.0,"Kara, algorithms, didactics of informatics, problem solving process, secondary computer science education, tool-based analysis",10.1145/1595356.1595361,,,,,,,2008.0,,Proceedings of the 8th International Conference on Computing Education Research,Koli '08,,978-1-60558-385-3,"Koli, Finland",ACM,"New York, NY, USA",computing accessibility education
95,159,article,1953277,Jiangjiang  Liu and Cheng-Hsien  Lin and Ethan Philip Hasson and Zebulun David Barnett,,,,Introducing Computer Science to K-12 Through a Summer Computing Workshop for Teachers,389--394,,6.0,"K-12 teacher training, computer science education, computing education K-12 outreach, computing workshop",10.1145/1953163.1953277,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",computing accessibility education
97,161,article,2844585,Chrystalla  Mouza and Lori  Pollock and Kathleen  Pusecker and Kevin  Guidry and Ching-Yi  Yeh and James  Atlas and Terry  Harvey,,,,Implementation and Outcomes of a Three-Pronged Approach to Professional Development for CS Principles,66--71,,6.0,"computational thinking, cs education, cs principles, k12",10.1145/2839509.2844585,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing accessibility education
101,167,article,2721978,Christian  K&#246;ppe and Anne  Bartilla,,,,Towards a Pattern Approach for Improving Enrollment and Retention of Female Students in Computer Science Education,18:1--18:9,18.0,9.0,"diversity, education, educational patterns, female students",10.1145/2721956.2721978,,,,,,,2014.0,,Proceedings of the 19th European Conference on Pattern Languages of Programs,EuroPLoP '14,,978-1-4503-3416-7,"Irsee, Germany",ACM,"New York, NY, USA",computing accessibility education
104,170,article,1151875,Anders  Berglund and Mats  Daniels and Arnold  Pears,,,,Qualitative Research Projects in Computing Education Research: An Overview,25--33,,9.0,"computing education, computing education research",,,,,,,,2006.0,,Proceedings of the 8th Australasian Conference on Computing Education - Volume 52,ACE '06,,1-920682-34-1,"Hobart, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing accessibility education
109,177,article,2858252,Dastyni  Loksa and Andrew J. Ko and Will  Jernigan and Alannah  Oleson and Christopher J. Mendez and Margaret M. Burnett,,,,"Programming, Problem Solving, and Self-Awareness: Effects of Explicit Guidance",1449--1461,,13.0,"computer science education, metacognition, problem-solving, programming",10.1145/2858036.2858252,,,,,,,2016.0,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA",computing accessibility education
111,180,article,2538965,Claudia  Szabo,,,,Student Projects Are Not Throwaways: Teaching Practical Software Maintenance in a Software Engineering Course,55--60,,6.0,"computer science education, software engineering, software maintenance",10.1145/2538862.2538965,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing accessibility education
1,25,article,1822094,Johan  Aberg,,,,Challenges with Teaching HCI Early to Computer Students,3--7,,5.0,"education, human-computer interaction, usability, usable systems",10.1145/1822090.1822094,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing usability education
2,27,article,2160548,G. Michael  Poor and Laura M.  Leventhal and Julie  Barnes and Duke R.  Hutchings and Paul  Albee and Laura  Campbell,,,,No User Left Behind: Including Accessibility in Student Projects and the Impact on CS Students&Rsquo; Attitudes,5:1--5:22,5.0,22.0,"Usability, accessibility, computer science education",10.1145/2160547.2160548,Trans. Comput. Educ.,April 2012,12,2,,April,2012.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing usability education
3,31,article,882062,Roger  Grice and Bill  Hart-Davidson,,,,Mapping the Expanding Landscape of Usability: The Case of Distributed Education,159--167,,9.0,"HCI, distance education, distributed education, usability",10.1145/882061.882062,ACM J. Comput. Doc.,November 2002,26,4,,November,2002.0,1527-6805,,,,,,ACM,"New York, NY, USA",computing usability education
4,32,article,3025673,Elissa M. Redmiles and Sean  Kross and Michelle L. Mazurek,,,,"Where is the Digital Divide?: A Survey of Security, Privacy, and Socioeconomics",931--936,,6.0,"computer science education, digital divide, usable security",10.1145/3025453.3025673,,,,,,,2017.0,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA",computing usability education
6,34,article,1111374,Eduardo Hideki Tanaka and S&#237;lvia Am&#233;lia Bim and Helo&#237;sa Vieira da Rocha,,,,Comparing Accessibility Evaluation and Usability Evaluation in Hag\'{A}Qu\^{E},139--147,,9.0,"accessibility evaluation, computers and education, usability evaluation",10.1145/1111360.1111374,,,,,,,2005.0,,Proceedings of the 2005 Latin American Conference on Human-computer Interaction,CLIHC '05,,1-59593-224-0,"Cuernavaca, Mexico",ACM,"New York, NY, USA",computing usability education
7,36,article,1029567,Katherine E. Thompson and Evelyn P. Rozanski and Anne R. Haake,,,,"Here, There, Anywhere: Remote Usability Testing That Works",132--137,,6.0,"human-computer interaction, remote usability testing, usability testing",10.1145/1029533.1029567,,,,,,,2004.0,,Proceedings of the 5th Conference on Information Technology Education,CITC5 '04,,1-58113-936-5,"Salt Lake City, UT, USA",ACM,"New York, NY, USA",computing usability education
8,37,article,947162,Evelyn P. Rozanski and Anne R. Haake,,,,The Many Facets of HCI,180--185,,6.0,"design methods, human-computer interaction, ubiquitous computing, usability, usability engineering",10.1145/947121.947162,,,,,,,2003.0,,Proceedings of the 4th Conference on Information Technology Curriculum,CITC4 '03,,1-58113-770-2,"Lafayette, Indiana, USA",ACM,"New York, NY, USA",computing usability education
9,38,article,2336736,Deborah  Richards and Iwan  Kelaiah,,,,Usability Attributes in Virtual Learning Environments,9:1--9:10,9.0,10.0,"education, usability attributes, virtual worlds",10.1145/2336727.2336736,,,,,,,2012.0,,Proceedings of The 8th Australasian Conference on Interactive Entertainment: Playing the System,IE '12,,978-1-4503-1410-7,"Auckland, New Zealand",ACM,"New York, NY, USA",computing usability education
10,42,article,1109554,Stuart  MacFarlane and Gavin  Sim and Matthew  Horton,,,,Assessing Usability and Fun in Educational Software,103--109,,7.0,"children, computer-assisted learning, educational software, evaluation, fun, usability",10.1145/1109540.1109554,,,,,,,2005.0,,Proceedings of the 2005 Conference on Interaction Design and Children,IDC '05,,1-59593-096-5,"Boulder, Colorado",ACM,"New York, NY, USA",computing usability education
11,43,article,355477,Jenna  Burrell and Paul  Treadwell and Geri K. Gay,,,,Designing for Context: Usability in a Ubiquitous Environment,80--84,,5.0,"context-aware computing, mobile computing, social navigation",10.1145/355460.355477,,,,,,,2000.0,,Proceedings on the 2000 Conference on Universal Usability,CUU '00,,1-58113-314-6,"Arlington, Virginia, USA",ACM,"New York, NY, USA",computing usability education
12,46,article,2738214,Paul  Gerber and Melanie  Volkamer and Karen  Renaud,,,,Usability Versus Privacy Instead of Usable Privacy: Google's Balancing Act Between Usability and Privacy,16--21,,6.0,"Android permissions, psychology of security, risk communication, risk perception, security education and usable security, usable privacy",10.1145/2738210.2738214,SIGCAS Comput. Soc.,February 2015,45,1,,February,2015.0,0095-2737,,,,,,ACM,"New York, NY, USA",computing usability education
13,47,article,2534972,J. &#193;ngel  Vel&#225;zquez-Iturbide,,,,An Experimental Method for the Active Learning of Greedy Algorithms,18:1--18:23,18.0,23.0,"Computer science education, active learning, greedy algorithms, misconceptions, usability, visualization",10.1145/2534972,Trans. Comput. Educ.,November 2013,13,4,,November,2013.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing usability education
14,49,article,2662347,Carina  Gonz&#225;lez and Vanesa  Mu&#241;oz and Pedro  Toledo and Alberto  Mora and Lorenzo  Moreno,,,,EMATIC: An Inclusive Educational Application for Tablets,94:1--94:8,94.0,8.0,"Assistive Technology, Prototyping, Special Education, Usability Testing",10.1145/2662253.2662347,,,,,,,2014.0,,Proceedings of the XV International Conference on Human Computer Interaction,Interacci&#243;n '14,,978-1-4503-2880-7,"Puerto de la Cruz, Tenerife, Spain",ACM,"New York, NY, USA",computing usability education
15,50,article,2445395,Binto  George and Martha  Klems and Anna  Valeva,,,,A Method for Incorporating Usable Security into Computer Security Courses,681--686,,6.0,"3P learning method, computer security education, security, usable security",10.1145/2445196.2445395,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computing usability education
16,52,article,2037314,Oronzo  Parlangeli and Guido  Mengoni and Stefano  Guidi,,,,The Effect of System Usability and Multitasking Activities in Distance Learning,59--64,,6.0,"distance education, multitasking, usability, user interface",10.1145/2037296.2037314,,,,,,,2011.0,,Proceedings of the 9th ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction: Facing Complexity,CHItaly,,978-1-4503-0876-2,"Alghero, Italy",ACM,"New York, NY, USA",computing usability education
17,55,article,2818335,Barbara  Ericson and Steven  Moore and Briana  Morrison and Mark  Guzdial,,,,Usability and Usage of Interactive Features in an Online Ebook for CS Teachers,111--120,,10.0,"Online education, computer science principles, high school teachers, professional development, secondary education",10.1145/2818314.2818335,,,,,,,2015.0,,Proceedings of the Workshop in Primary and Secondary Computing Education,WiPSCE '15,,978-1-4503-3753-3,"London, United Kingdom",ACM,"New York, NY, USA",computing usability education
18,58,article,2808027,Craig S. Miller,,,,Usability Evaluation: Learning When Method Findings Converge--And When They Don'T,167--172,,6.0,"hci education, hci methods, usability evaluation",10.1145/2808006.2808027,,,,,,,2015.0,,Proceedings of the 16th Annual Conference on Information Technology Education,SIGITE '15,,978-1-4503-3835-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",computing usability education
19,59,article,2000761,E. G. Todd and E. A. Kemp and C. H. E. Phillips,,,,UMM: A Maturity Model for UI-pattern Languages,33--40,,8.0,"TUI, UMM, education, maturity model, pattern language, user interface",10.1145/2000756.2000761,,,,,,,2011.0,,Proceedings of the 12th Annual Conference of the New Zealand Chapter of the ACM Special Interest Group on Computer-Human Interaction,CHINZ '11,,978-1-4503-0676-8,"Hamilton, New Zealand",ACM,"New York, NY, USA",computing usability education
20,60,article,1999626,Edna  Magalh&#227;es and Viviane  Gomes and Alexandre  Rodrigues and Leonardo  Santos and Tayana  Conte,,,,Impacto Da Usabilidade Na Educa\c{C}\~{A}O a Dist\^{A}Ncia: Um Estudo De Caso No Moodle IFAM,231--236,,6.0,"Moodle, communicability evaluation, distant education, usability evaluation",,,,,,,,2010.0,,Proceedings of the IX Symposium on Human Factors in Computing Systems,IHC '10,,,"Belo Horizonte, Minas Gerais, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",computing usability education
