,Unnamed: 0,title,author,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,keyword,num_pages
3,16,Grounded Theory in Software Engineering Research: A Critical Review and Guidelines,K. J. Stol; P. Ralph; B. Fitzgerald,"Lero (Irish Software Res. Centre), Univ. of Limerick, Limerick, Ireland",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403.0,2016,,,120,131,"Grounded Theory (GT) has proved an extremely useful research approach in several fields including medical sociology, nursing, education and management theory. However, GT is a complex method based on an inductive paradigm that is fundamentally different from the traditional hypothetico-deductive research model. As there are at least three variants of GT, some ostensibly GT research suffers from method slurring, where researchers adopt an arbitrary subset of GT practices that are not recognizable as GT. In this paper, we describe the variants of GT and identify the core set of GT practices. We then analyze the use of grounded theory in software engineering. We carefully and systematically selected 98 articles that mention GT, of which 52 explicitly claim to use GT, with the other 46 using GT techniques only. Only 16 articles provide detailed accounts of their research procedures. We offer guidelines to improve the quality of both conducting and reporting GT studies. The latter is an important extension since current GT guidelines in software engineering do not cover the reporting process, despite good reporting being necessary for evaluating a study and informing subsequent research.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884833,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7886897,Grounded theory;guidelines;review;software engineering,Computer science;Encoding;Guidelines;Interviews;Software;Software engineering;Sorting,software engineering,GT practices;grounded theory;software engineering research,,2.0,,,,,,14-22 May 2016,,IEEE,IEEE Conference Publications,software engineering education theory,11
4,17,A Pilot Study: The Effect of Using Virtual Laboratory on Students? Conceptual Understanding in Mobile Communications,S. Mahajan; S. Kulkarni; A. S. Diwakar,"K.J. Somaiya Coll. of Eng., Mumbai, India",2016 IEEE Eighth International Conference on Technology for Education (T4E),20170116.0,2016,,,7,14,"Laboratory work is an integral part of science and engineering education. Traditionally hardware experiments dominate the electronics engineering laboratory work. Course on Mobile communications has problems due to limited scope of available hardware especially for students' conceptual learning. As a result, the lab work in the Mobile Communications course is carried out using simulation software such as Matlab, Scilab etc. Students are able to verify various concepts studied in theory using these simulations. The problem of using these software simulations is that the students focus shifts from understanding the concepts underlying the experiment to writing the Matlab or Scilab code. We carried out a pilot study to address this problem using the new technology Virtual Laboratories available online. In this paper we present the results of the pilot study carried out with 150 students at UG level and 18 students at PG level in an autonomous college under university of Mumbai using Mobile Communications Virtual laboratory. The results indicate an increase in the students' understanding of core concepts such as frequency reuse, channel fading and various handoff strategies. The students' have given a positive feedback in the course exit survey regarding their experience with the new lab format. They find working with these labs more interesting and motivating. The performance of students in the test at the end of semester has improved in questions related to the core concepts.",,Electronic:978-1-5090-6115-0; POD:978-1-5090-6116-7,10.1109/T4E.2016.011,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7814786,Mobile communications;Virtual laboratories;conceptual understanding,Engineering students;Hardware;MATLAB;Mobile communication;Wireless communication;Writing,computer aided instruction;educational institutions;electronic engineering computing;electronic engineering education;fading channels;laboratories;mobility management (mobile radio);virtual instrumentation,Matlab simulation software;PG level;Scilab simulation software;UG level;channel fading;frequency reuse;handoff strategies;mobile communications course;student conceptual understanding;student feedback;university of Mumbai;virtual laboratory,,,,,,,,2-4 Dec. 2016,,IEEE,IEEE Conference Publications,software engineering education theory,7
6,20,"Improving programming education through gameful, formative feedback",M. Fuchs; C. Wolff,"Information Science Group, University of Regensburg, Regensburg, Germany",2016 IEEE Global Engineering Education Conference (EDUCON),20160523.0,2016,,,860,867,In this paper we present a newly developed online learning platform which introduces gamification elements into software engineering education. Starting from assumptions based on cognitive load theory we present the design of an online gamification-based training system to be used in software engineering contexts. Students can voluntarily solve challenges for which they may earn credits. These small problems serve as assessments; the approach follows the assessment for learning paradigm in that assessments provide formative feedback to enhance the learning experience. The combination of formative assessment and gamification is new to software engineering education. We describe system design as well as the different types of challenges in detail. We also provide several examples for actual challenges used in an object-oriented programming introduction using Java.,,Electronic:978-1-4673-8633-3; POD:978-1-4673-8634-0,10.1109/EDUCON.2016.7474653,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7474653,Java;assessment for learning;cognitive laod theory;gamification;learning;object-oriented programming;online web-based self-assessment Introduction (Heading 1),Context;Education;Games;Java;Programming profession;Software engineering,Internet;Java;cognition;computer aided instruction;computer games;computer science education;object-oriented programming;software engineering,Java;cognitive load theory;formative feedback assessment;gamification-based training system;object-oriented programming;online learning platform;programming education;software engineering education,,,,32.0,,,,10-13 April 2016,,IEEE,IEEE Conference Publications,software engineering education theory,7
7,21,Green city: A low-cost testbed for distributed control algorithms in Smart Grid,A. C. Becerra; W. Zeng; M. Y. Chow; J. J. Rodr?guez-Andina,"Department of Electronic Technology, University of Vigo, Vigo, Spain",IECON 2015 - 41st Annual Conference of the IEEE Industrial Electronics Society,20160128.0,2015,,,1948,1953,"As a type of Cyber-Physical Systems (CPSs), Smart Grid has been adding more communication and control capabilities to improve power efficiency and availability. Especially, more and more distributed control algorithms have been developed for Smart Grids because of their flexibility and robustness. In order to deploy them in real electric power systems, distributed control algorithms must be tested, not only in theoretical simulations, but also in testbeds subject to real world constraints that can provide feedback to make the algorithm robust. Implementations of these algorithms in a Smart Grid environment are facing many cyber-physical challenges such as possible communication failures or imperfections, noisy signals, etc. These challenges can lead to increasing economical expenditure or cause failure of the power system. There exist different approaches for testing distributed control algorithms, from using state-of-the-art facilities to software or hardware-in-the-loop simulations. To better emulate real-world electric grid operation scenarios with low capital investment, in this paper the Green City (GC) testbed is proposed as a suitable platform for both control theory researchers in Smart Grid, and for engineering education, allowing students to learn through hands-on experiences. GC has been conceived as a multi-agent networked CPS with the following main features: 1- Smart Grid environment emulation with low-cost physical elements; 2- Fast prototyping capability of distributed control algorithms for Smart Grid.",,Electronic:978-1-4799-1762-4; POD:978-1-4799-1763-1,10.1109/IECON.2015.7392385,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7392385,Cyber-Physical System;Distributed Control Algorithms;Education;Microgrid;Smart Grid;Testbed,Decentralized control;Generators;Graphical user interfaces;Microgrids;Smart grids;Software;Software algorithms,cyber-physical systems;distributed control;failure analysis;power system control;power system economics;smart power grids,CPS;cyber-physical system;distributed control algorithm;economical expenditure;electric grid operation;electric power system failure;engineering education;fast prototyping capability;green city;hands-on experience;hardware-in-the-loop simulation;low-cost testbed;power availability improvement;power efficiency improvement;smart grid;software-in-the-loop simulation;testing distributed control algorithm,,1.0,,12.0,,,,9-12 Nov. 2015,,IEEE,IEEE Conference Publications,software engineering education theory,5
8,22,Project management game 2D (PMG-2D): A serious game to assist software project managers training,J. E. N. Lino; M. A. Paludo; F. V. Binder; S. Reinehr; A. Malucelli,"Programa de P&#x00F3;s-Gradua&#x00E7;&#x00E3;o em Inform&#x00E1;tica, Pontif&#x00ED;cia Universidade Cat&#x00F3;lica do Paran&#x00E1; PUCPR, Curitiba, Paran&#x00E1;",2015 IEEE Frontiers in Education Conference (FIE),20151207.0,2015,,,1,8,"In these times of great changes, managing software projects effectively is a big challenge and it is increasingly more difficult to find skilled professionals. This paper presents the Project Management Game 2D (PMG-2D), an educational serious game that aims to assist inexperienced software project managers to be trained, considering cost, time, risk and human resources management areas. The PMG-2D simulates a real software development environment where the player, acting as a project manager, goes through all basic phases of a software project lifecycle. There are many roles in the team that have to be managed, and the members have different personalities in order to challenge the player when dealing with people and their conflicts and performance, among other characteristics. The mechanism implemented to control the character's personalities is based on the theory of the Five Big Factors, described by the lexical method conceived in the Psychology area. The evaluation was conducted within the context of a software engineering continuing education course, and 25 participants have played the game and answered a questionnaire. When analyzing the results, it was possible to find evidence that the game, besides assisting the project management training, stimulates the player to learn more about it.",,Paper:978-1-4799-8454-1,10.1109/FIE.2015.7344168,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7344168,Electronic Learning;Management Training;Project Management;Unsupervised Learning,Context;Games;Project management;Software;Software engineering;Training,project management;serious games (computing);software engineering;software management,PMG-2D;educational serious game;project management game 2D;software development;software project lifecycle;software project manager training,,,,22.0,,,,21-24 Oct. 2015,,IEEE,IEEE Conference Publications,software engineering education theory,7
9,23,Computational complexity of college math eigenvalue problems,Y. Mori; S. Yukita,"Graduate School of Computer and Information Sciences, Hosei University, Tokyo, Japan",2015 IEEE Frontiers in Education Conference (FIE),20151207.0,2015,,,1,6,"Providing students with suitably complex exercises is crucial to keeping them motivated and leading them to deeper understanding. Making such problems manually takes mathematics teachers' precious time which can otherwise be used to mentor students. Many software tools and services for automatic generation of math problems are found on the Web, but all of them provide only materials of high-school level or below. In addition, no standardized methods are provided to evaluate and control the computational complexity of generated problems. General concepts of complexity in various forms can be found in standard textbooks. The authors treat a different flavor of complexity, subjective complexity, where complexity is measured by the difficulty that learners feel. The authors proposed a new framework for evaluating computational complexity from learners' view, aiming to apply our framework to automatic generation of college math problems with controlled computational complexity. To prove the effectiveness of the new concept of complexity from learners' perspective, we developed some automatic generation tools based on our framework. In this paper, we will present one of the tools that supports automatic generation of eigenvalue problems. Controlling the complexity of eigenvalue problems involves restricting the number of calculation steps, the heights of the involved rationals, and the algebraic number fields appearing in the model solution of the problem. The small-scale experiments showed the relevance of our framework. Our system makes a path to strict quantitative control on various complexity from the learners' view. Future work includes the application of our methods to other areas such as differential equations, number theory and so on. We also should prove that this system has a positive effect on the engineering education at college level. Therefore, demonstration experiments in classroom will be scheduled in the next step of our research.",,Paper:978-1-4799-8454-1,10.1109/FIE.2015.7344123,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7344123,,Computational complexity;Eigenvalues and eigenfunctions;Graphical user interfaces;Mathematical model;Sparse matrices,Internet;computational complexity;educational institutions;eigenvalues and eigenfunctions;engineering education;mathematics,World Wide Web;college math eigenvalue problems;college math problem automatic generation;computational complexity;eigenvalue problem automatic generation;engineering education;mathematics teachers,,,,13.0,,,,21-24 Oct. 2015,,IEEE,IEEE Conference Publications,software engineering education theory,5
11,28,Software Mangineeringment: Teaching Project Management from software engineering perspective,A. Tomer,"Software Engineering Department, Kinneret College on the Sea of Galilee, Tzemach, Israel",2015 IEEE Global Engineering Education Conference (EDUCON),20150430.0,2015,,,5,11,"Software Engineers are often promoted to management positions, based on their engineering excellence, lacking management knowledge, which is not always part of their undergraduate SE program. Moreover, very early in their career software engineers face management issues, when they are required to meet budget and schedule, to assess potential risks, to make make/buy decisions or to maintain effective communications over globally-dispersed teams. These combined jobs may be referred to as ?Software Mangineeringment?. General Project Management education does not equip these engineers with enough relevant practice for the software domain. This article describes an undergraduate course which combines the general project management theory and practice with software-specific practices. The course framework is the guide to Project Management Body of Knowledge (PMBOK<sup>?</sup> Guide), which includes 42 projects management processes organized categorized into 9 Knowledge Areas. The course extends these processes with many practices taken from a large variety of software engineering resources. The course is also delivered as an industrial seminar targeted at software managers in their initial management steps.",2165-9559;21659559,Electronic:978-1-4799-1908-6; POD:978-1-4799-1909-3,10.1109/EDUCON.2015.7095942,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7095942,PMBOK;Project Management;Software Engineering,Context;Organizations;Project management;Schedules;Software;Software engineering;Standards,computer science education;educational courses;management education;project management;software management;teaching,PMBOK Guide;general project management education;knowledge area;management position;project management body of knowledge;project management teaching;software domain;software engineering perspective;software management;software mangineeringment;software-specific practices;undergraduate SE program,,0.0,,36.0,,,,18-20 March 2015,,IEEE,IEEE Conference Publications,software engineering education theory,6
12,29,Teaching control systems theory using linear systems education tool,M. Le?; R. Sve?ko,"Fac. of Electr. Eng. & Comput. Sci., Univ. of Maribor, Maribor, Slovenia",2001 European Control Conference (ECC),20150427.0,2001,,,3326,3331,"The software technology provides a highly interactive and powerful learning environment for control engineering disciplines. This paper describes the development and implementation of Linear Systems Theory Education Tool, which contains lectures connected through graphical user interface with electronic manuscripts and examples Matlab and Simulink. Linear Systems Theory Education Tool is a graphical application, which offers undergraduate electrical engineering students a clear and easily support by learning linear systems theory in native language. This tool connects the electronic manuscripts and many examples in Matlab and Simulink through a graphical user interface. It provides students the foundations for independent studies and distance learning. The main focus in paper is given to the graphical interface structure illustrated with an example. Finally, the paper provides some discussion.",,POD:978-3-9524173-6-2,,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7076446,Control Education;Control Education on the Web;Linear systems;Process Control;Signal and Systems,Control systems;Decision support systems;Education;Europe;Handheld computers;Linear systems;MATLAB,computer aided instruction;control engineering computing;control engineering education;distance learning;graphical user interfaces;linear systems,Matlab;Simulink;control engineering;control systems theory teaching;distance learning;electronic manuscripts;graphical interface structure;graphical user interface;learning environment;linear systems education tool;software technology;undergraduate electrical engineering students,,0.0,,,,,,4-7 Sept. 2001,,IEEE,IEEE Conference Publications,software engineering education theory,5
13,32,FuzzyStudio: A Web Tool for Modeling and Simulation of Fuzzy Systems,M. d. Souza; F. d. Santos; A. R. d. Soto; A. Vahldick,"Univ. do Estado de Santa Catarina - UDESC, Ibirama, Brazil",2014 Brazilian Conference on Intelligent Systems,20141215.0,2014,,,306,311,"The study of Fuzzy Logic in higher education is hampered by the limited time devoted to it, since it is frequently embedded into a discipline along with other topics. In spite of their potential for application in several areas of knowledge, such as education, administration and engineering, teaching Fuzzy Logic is also restricted by the absence of an environment to easily develop fuzzy systems. This work deals with the development of a tool for modelling and simulating fuzzy systems. The tool aims to facilitate the fuzzy systems building process. As an important feature, an execution environment to the model has been developed. This feature improves graphical execution, FCL standard code generation and Java code generation. Furthermore, the tool enables collaborative work, allowing that more than one user simultaneously work on the same project. By now, tool supports Mamdani-type fuzzy systems and its implementation is exploited with the jFuzzyLogic library. The tool was used in a class of Artificial Intelligence in the Santa Catarina State University. In the opportunity, the students performed exercises on the platform and also delivered a work proposed by the professor. After that it was conducted a survey with those students in order to evaluate the facility of using the software. The system showed to be efficient and simple for the construction of fuzzy systems as well as for the simulation and generation of fuzzy artifacts. So, it can be applied in an academic environment to practice fuzzy theories, as well as in the commercial context, in the construction of intelligent solutions that use Fuzzy Logic.",,Electronic:978-1-4799-5618-0; POD:978-1-4799-7859-5,10.1109/BRACIS.2014.62,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6984848,Fuzzy Control Language;Fuzzy Logic;Fuzzy Systems;jFuzzyLogic;modeling,Intelligent systems,Java;educational institutions;further education;fuzzy logic;fuzzy reasoning;fuzzy systems;groupware;program compilers;public domain software;software libraries,FCL standard code generation;FuzzyStudio;Java code generation;Mamdani-type fuzzy systems;Santa Catarina State University;Web tool;academic environment;artificial intelligence;collaborative work;execution environment;fuzzy artifact generation;fuzzy logic;fuzzy system building process;fuzzy system construction;fuzzy system modeling;fuzzy system simulation;fuzzy theories;graphical execution improvement;higher education;jFuzzyLogic library,,1.0,,27.0,,,,18-22 Oct. 2014,,IEEE,IEEE Conference Publications,software engineering education theory,5
15,34,Software mangineeringment: teaching project management from software engineering perspective,A. Tomer,"Software Engineering Department Kinneret College on the Sea of Galilee, Israel",2014 IEEE Global Engineering Education Conference (EDUCON),20141002.0,2014,,,1,7,"Software Engineers are often promoted to management positions, based on their engineering excellence, lacking management knowledge, which is not always part of their undergraduate SE program. Moreover, very early in their career software engineers face management issues, when they are required to meet budget and schedule, to assess potential risks, to make make/buy decisions or to maintain effective communications over globally-dispersed teams. These combined jobs may be referred to as ""Software Mangineeringment"". General Project Management education does not equip these engineers with enough relevant practice for the software domain. This article describes an undergraduate course which combines the general project management theory and practice with software-specific practices. The course framework is the guide to Project Management Body of Knowledge (PMBOK<sup>?</sup> Guide), which includes 42 projects management processes organized categorized into 9 Knowledge Areas. The course extends these processes with many practices taken from a large variety of software engineering resources. The course is also delivered as an industrial seminar targeted at software managers in their initial management steps.",2165-9559;21659559,Electronic:978-1-4799-3191-0; POD:978-1-4799-3192-7; USB:978-1-4799-3190-3,10.1109/EDUCON.2014.6914698,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6914698,PMBOK;Project Management;Software Engineering,Context;Organizations;Project management;Schedules;Software;Software engineering;Standards,computer science education;educational courses;project management;risk management;software engineering;software management;teaching,PMBOK Guide;Project Management Body of Knowledge;general project management education;general project management theory;potential risk assessment;project management teaching;software engineering resources;software mangineeringment;software-specific practices;undergraduate course,,1.0,,36.0,,,,3-5 April 2014,,IEEE,IEEE Conference Publications,software engineering education theory,6
17,40,Studios in software engineering education: Towards an evaluable model,C. N. Bull; J. Whittle; L. Cruickshank,"HighWire DTC, School of Computing and Communications, Imagination Lancaster, Lancaster University Lancaster, UK",2013 35th International Conference on Software Engineering (ICSE),20130926.0,2013,,,1063,1072,"Studio-based teaching is a method commonly used in arts and design that emphasizes a physical ""home"" for students, problem-based and peer-based learning, and mentoring by academic staff rather than formal lectures. There have been some attempts to transfer studio-based teaching to software engineering education. In many ways, this is natural as software engineering has significant practical elements. However, attempts at software studios have usually ignored experiences and theory from arts and design studio teaching. There is therefore a lack of understanding of what ""studio"" really means, how well the concepts transfer to software engineering, and how effective studios are in practice. Without a clear definition of ""studio"", software studios cannot be properly evaluated for their impact on student learning nor can best and worst practices be shared between those who run studios. In this paper, we address this problem head-on by conducting a qualitative analysis of what ""studio"" really means in both arts and design. We carried out 15 interviews with a range of people with studio experiences and present an analysis and model for evaluation here. Our results suggest that there are many intertwined aspects that define studio education, but it is primarily the people and the culture that make a studio. Digital technology on the other hand can have an adverse effect on studios, unless properly recognised.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606656,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6606656,Atelier;Collaboration;Collocation;Creativity;Design;Software Engineering Education;Software Studio;Studio,Aerospace electronics;Art;Educational institutions;Interviews;Software;Software engineering,art;computer science education;software engineering;teaching,arts;design;digital technology;peer-based learning;physical home;problem-based learning;qualitative analysis;software engineering education;studio education;studio-based teaching,,7.0,,21.0,,,,18-26 May 2013,,IEEE,IEEE Conference Publications,software engineering education theory,9
18,41,Virtual Laboratory Development for Teaching Power Systems via Interactive Experiment Environment,J. S. Djeumen; J. Le Roux; D. V. Nicolae,"Dept. of Power Eng., Vaal Univ. of Technol., Vanderbijlpark, South Africa",2012 African Conference for Sofware Engineering and Applied Computing,20130916.0,2012,,,82,89,"The creation and testing of computer-simulated interactive environment laboratory for use in the power systems field education will provide a highly interactive and powerful learning environment for all undergraduate power engineering students. This experiment will prepare students to approach their practical with more confidence and to better understand the theory in the class room. The study of electrical power systems requires a solid background on advanced mathematics, but many engineering students lack this required background. Using this tool, undergraduate students may improve their performance. MATLAB, particularly its Graphical User Interface (GUI)software has been used to design the interactive environment to calculate the fault currents and voltages that occur for different types of fault on the power systems transmission line. The manipulation on the internal connection of the power system components are the main focus. This paper describes the design of an interactive environment experiment for studying power systems fault analysis and the program will make the practical experiments in power engineering more attractive and understandable to undergraduate students.",,Electronic:978-0-7695-4909-5; POD:978-1-4673-1775-7,10.1109/ACSEAC.2012.18,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6597853,Interactive environment;Laboratory experiments;MATLAB GUI;Power Systems Analysis;Simulation;learning tool,Circuit faults;Education;Graphical user interfaces;Laboratories;MATLAB;Power transmission lines,computer aided instruction;further education;graphical user interfaces;interactive systems;mathematics computing;power engineering education;power transmission faults;power transmission lines;teaching,GUI software;MATLAB;advanced mathematics;computer-simulated interactive environment laboratory creation;computer-simulated interactive environment laboratory testing;electrical power systems;fault currents;fault voltages;graphical user interface software;interactive experiment environment;internal connection manipulation;power system components;power system fault analysis;power system field education;power system teaching;power system transmission line fault;undergraduate power engineering students;virtual laboratory development,,1.0,,24.0,,,,24-26 Sept. 2012,,IEEE,IEEE Conference Publications,software engineering education theory,7
19,43,Distance education using a desktop virtual reality (VR) system,M. T. Valdez; C. M. Ferreira; F. P. Maciel Barbosa,"Departamento de Electrotecnia, Instituto Superior de Engenharia de Coimbra (ISEC) Rua Pedro Nunes, 3030-140 Coimbra, Portugal",2013 24th EAEEIE Annual Conference (EAEEIE 2013),20130808.0,2013,,,145,150,"The constant changes occurring in today's teaching and learning processes provide a continuous improvement in the interaction of information. At the same time, globalization and the need for streamlining time facilitate the development of new methods of imparting knowledge. With the new information technologies, new forms of learning occur adding greater dynamism to the information. This form of learning, which optimizes time and space, is known as distance learning and it is being amply used in many different areas. Distance education presents the advantage of facilitating the teaching and learning processes without face-to-face interaction as knowledge is transmitted, partly or as a whole using technology. In fact, technological innovation has assumed a vital role in education. Looking to achieve more efficiency in carrying out the various activities, the job market constantly requires an investment in new skills and knowledge so that the professionals can operate the equipment and working tools, successfully and with quality. This paper presents a new system of learning a curricular unit of Circuit Theory using desktop virtual reality (VR). The software provides the possibility to understand the relationship between the physical concepts of an electrical circuit, direct or alternating current, through computer simulations and animations. This work was developed to demonstrate how a desktop VR prototype, ?Virtual Electric Manual?-VEMA, can be applied to an engineering unit and used to enhance security and resourcefulness in using electrical equipment. Several interactive scenes were developed to illustrate the idea using a measurements and instrumentation laboratory as virtual environment. A range of interactive learning environments are presented: the menu with the first interactive experiment is the simulator of a DC circuit. It allows the student to analyze the setting up of a parallel, or series-parallel resistive circuit series powered by di- ect current; the second menu, features the simulator of an alternating current circuit and demonstrates how the student can perform the analysis of a circuit with resistors, inductors and capacitors; the third interactive experiment is the simulator of a three-phase alternating current circuit; the fourth menu refers to a study on the transitional phenomena. Finally, the fifth menu is an interactive experiment related to the phenomena of resonance. VEMA offers students the opportunity to understand the processes, helping them to better discern the procedures and trains them to interact with the equipment. The VEMA prototype addresses these issues and highlights the potential benefits of using VR for this purpose. Each experiment will provide technical and scientific knowledge in order to give the student/user adequate information and training in the subject.",,Electronic:978-1-4799-0044-2; POD:978-1-4799-0042-8,10.1109/EAEEIE.2013.6576518,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6576518,circuit theory;electrical circuits;interactive circuit;learning object,Circuit theory;Instruments;Laboratories;Prototypes;Software;Training,capacitors;circuit simulation;computer animation;computer based training;distance learning;electric current;electrical engineering education;inductors;resistors;virtual reality,DC circuit;VEMA prototype;alternating current;alternating current circuit;animations;capacitors;circuit analysis;circuit theory;computer simulations;continuous improvement;curricular unit;desktop VR prototype;desktop virtual reality system;distance education;distance learning;electrical circuit;electrical equipment;globalization;inductors;interactive learning environments;interactive scenes;learning process;resistors;series-parallel resistive circuit series;teaching process;technological innovation;three-phase alternating current circuit;time streamlining;training;transitional phenomena;virtual electric manual;virtual environment,,3.0,,25.0,,,,30-31 May 2013,,IEEE,IEEE Conference Publications,software engineering education theory,5
20,44,The Flexiformalist Manifesto,M. Kohlhase,"Comput. Sci., Jacobs Univ., Bremen, Germany",2012 14th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,20130318.0,2012,,,30,35,"In this manifesto, we develop the ""Flexiformalist Program"". This may be thought of as a modern extension of Hilbert's ""Formalist Program"", which solved the foundational crisis of mathematics but remained purely theoretical: Even though formal representations are a prerequisite for computer support in mathematics, formalization is a possibility that is usually unconsummated and thus does not have any practical influence on day-to-day mathematics.The Flexiformalist Program aims to change this and calls for1. The development of a regime of partially formalizinga. mathematical knowledge into a modular ontology of mathematical theories (content commons), andb. mathematical documents by semantic annotations and links into the content commons (semantic documents),2. The establishment of a software infrastructure witha. a distributed network of archives that manage the content commons and collections of semantic documents,b. semantic web services that perform tasks to support current and future mathematic practicesc. active document players that present semantic documents to readers and give access to respective3. the re-development of a comprehensive part of mathematical knowledge and the mathematical documents that carries it into a flexiformal digital library of mathematics (FDLM). We believe that such a flexiformal digital library will significantly empower mathematicians, scientists, and engineers in research, education, and application. Our experiences with early approximations of the FDLM show that the approach can be profitably transferred to other domains in science, technology, and engineering.",,Electronic:978-0-7695-4934-7; POD:978-1-4673-5026-6,10.1109/SYNASC.2012.78,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6481008,,Communities;Computers;Context;Libraries;Mathematics;Optical character recognition software;Semantics,Web services;digital libraries;document handling;mathematics computing;semantic Web,FDLM;early approximations;flexiformal digital library of mathematics;flexiformalist manifesto;flexiformalist program;formal representations;formalist program;mathematical documents;mathematical knowledge;mathematical theories;semantic Web services;semantic annotations;semantic documents;software infrastructure,,0.0,,23.0,,,,26-29 Sept. 2012,,IEEE,IEEE Conference Publications,software engineering education theory,5
21,46,Educational methods for software and systems development,A. J. Stoica; S. Islam,"Dept. of Inf. Technol., Uppsala Univ., Uppsala, Sweden",2012 15th International Conference on Interactive Collaborative Learning (ICL),20130107.0,2012,,,1,9,"The paper is based on applying the goals of software and systems engineering curriculum as a part of learning and teaching for an academic degree. The paper also relates to contributions of some of Harlan D. Mills award recipients for software engineering achievement, to address the needs to: i) improve the engineering education in an academic setting, and ii) develop real-life software and system projects. In particular we present the experience of using theory and practice of software engineering education focusing on model and Web based software and systems development from both academic and real life perspective. Hybrid educational methods are applied for student learning that combine class room approach of teaching fundamental theoretical concepts and practice via real world complex projects embedding intelligence in software and systems products. System thinking demanded by modern design philosophies is applied to interlink products, software, and people. Student groups are developing their projects in an interactive and collaborative manner.",,Electronic:978-1-4673-2427-4; POD:978-1-4673-2425-0; USB:978-1-4673-2426-7,10.1109/ICL.2012.6402127,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6402127,Web-based software;software engineering education;software theories and methods;systems platforms and architectures;teaching and learning strategies;teamwork,Analytical models;Education;Object oriented modeling;Software;Software engineering;Unified modeling language,computer aided instruction;computer science education,academic degree;academic setting;educational methods;engineering curriculum;engineering education;software development;software engineering;systems development,,0.0,,27.0,,,,26-28 Sept. 2012,,IEEE,IEEE Conference Publications,software engineering education theory,8
22,49,Facilitating Constructive Alignment in Power Systems Engineering Education Using Free and Open-Source Software,L. Vanfretti; F. Milano,"Electric Power Systems Division, School of Electrical Engineering, KTH Royal Institute of Technology, Stockholm, Sweden",IEEE Transactions on Education,20120731.0,2012,55,3.0,309,318,"This paper describes how the use of free and open-source software (FOSS) can facilitate the application of constructive alignment theory in power systems engineering education by enabling the deep learning approach in power system analysis courses. With this aim, this paper describes the authors' approach in using the Power System Analysis Toolbox (PSAT) for undergraduate and graduate education. Interviews with former students reveal the positive impact that the use of FOSS in general, and PSAT in particular, had on their learning and how it has influenced their professional life.",0018-9359;00189359,,10.1109/TE.2011.2172211,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6059459,Constructive alignment;free and open-source software (FOSS);functioning knowledge;learning activities;power system analysis,Computer languages;Education;MATLAB;Open source software;Power systems;Software architecture,computer aided instruction;power engineering education;power system analysis computing,constructive alignment theory;deep learning approach;free and open-source software;power system analysis toolbox;power systems engineering education,,10.0,,31.0,,,20111024.0,Aug. 2012,,IEEE,IEEE Journals & Magazines,software engineering education theory,9
