,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
11,26,article,1227439,Darren  Lim,,,,Taking Students out for a Ride: Using a Board Game to Teach Graph Theory,367--371,,5.0,"computer science education, games, graph theory",10.1145/1227504.1227439,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
13,28,article,971348,Luiz Filipe M. Vieira and Marcos Augusto M. Vieira and Newton J. Vieira,,,,"Language Emulator, a Helpful Toolkit in the Learning Process of Computer Theory",135--139,,5.0,"computer theory, teaching, tool",10.1145/1028174.971348,SIGCSE Bull.,March 2004,36,1,,March,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
15,30,article,1275645,Guillermo  Pay&#225;-Vay&#225; and Thomas  Jambor and Konstantin  Septinus and Sebastian  Hesselbarth and Holger  Flatt and Marc  Freisfeld and Peter  Pirsch,,,,ChipDesign: From Theory to Real World,58--64,,7.0,"computer architecture education, integrated circuits",10.1145/1275633.1275645,,,,,,,2007.0,,Proceedings of the 2007 Workshop on Computer Architecture Education,WCAE '07,,978-1-59593-797-1,"San Diego, California",ACM,"New York, NY, USA",computing education theory
16,34,article,2538910,Claudia  Szabo and Katrina  Falkner,,,,Neo-piagetian Theory As a Guide to Curriculum Analysis,115--120,,6.0,"computer science education, curriculum mapping",10.1145/2538862.2538910,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education theory
17,35,article,3084324,Chris  Proctor and Paulo  Blikstein,,,,Interactive Fiction: Weaving Together Literacies of Text and Code,555--560,,6.0,"computational literacy, computer science education, sociocultural learning theory, sociolinguistics",10.1145/3078072.3084324,,,,,,,2017.0,,Proceedings of the 2017 Conference on Interaction Design and Children,IDC '17,,978-1-4503-4921-5,"Stanford, California, USA",ACM,"New York, NY, USA",computing education theory
18,37,article,1089795,J. Paul Gibson and Jackie  O'Kelly,,,,Software Engineering As a Model of Understanding for Learning and Problem Solving,87--97,,11.0,computing education research,10.1145/1089786.1089795,,,,,,,2005.0,,Proceedings of the First International Workshop on Computing Education Research,ICER '05,,1-59593-043-4,"Seattle, WA, USA",ACM,"New York, NY, USA",computing education theory
19,39,article,544461,Orit  Hazzan,,,,Reducing Abstraction Level when Learning Computability Theory Concepts,156--160,,5.0,"abstraction, computability, computer science education, mental processes",10.1145/637610.544461,SIGCSE Bull.,September 2002,34,3,,June,2002.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
21,41,article,2532751,Ben  Gibson and Tim  Bell,,,,Evaluation of Games for Teaching Computer Science,51--60,,10.0,"computer science education, educational games, play",10.1145/2532748.2532751,,,,,,,2013.0,,Proceedings of the 8th Workshop in Primary and Secondary Computing Education,WiPSE '13,,978-1-4503-2455-7,"Aarhus, Denmark",ACM,"New York, NY, USA",computing education theory
22,42,article,803459,John H. Wolfe,,,,Automatic Question Generation from Text - an Aid to Independent Study,104--112,,9.0,,10.1145/800107.803459,,,,,,,1976.0,,Proceedings of the ACM SIGCSE-SIGCUE Technical Symposium on Computer Science and Education,SIGCSE '76,,,,ACM,"New York, NY, USA",computing education theory
25,45,article,2853199,Neena  Thota and Anders  Berglund,,,,Learning Computer Science: Dimensions of Variation Within What Chinese Students Learn,10:1--10:27,10.0,27.0,"Computer science education, context, phenomenography, qualitative research, variation theory",10.1145/2853199,Trans. Comput. Educ.,June 2016,16,3,,May,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
26,47,article,1930469,P&#228;ivi  Kinnunen and Beth  Simon,,,,Building Theory About Computing Education Phenomena: A Discussion of Grounded Theory,37--42,,6.0,"grounded theory, qualitative research, research methodology",10.1145/1930464.1930469,,,,,,,2010.0,,Proceedings of the 10th Koli Calling International Conference on Computing Education Research,Koli Calling '10,,978-1-4503-0520-4,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
27,48,article,3084389,Damien  Joseph and Tenace K. Setor and Shirish C. Srivastava,,,,Do IT Professionals Attend to Internal and External Distributive Justice?,7--11,,5.0,"human factors, management, theory",10.1145/3084381.3084389,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGMIS Conference on Computers and People Research,SIGMIS-CPR '17,,978-1-4503-5037-2,"Bangalore, India",ACM,"New York, NY, USA",computing education theory
28,49,article,979941,James D. Allert,,,,The Effectiveness of Innovative Approaches to CSI: Comparing Opinion to Outcome,151--157,,7.0,"PDA, assessment, educational software, handheld computer, learning theory, visualization",,,,,,,,2004.0,,Proceedings of the 27th Australasian Conference on Computer Science - Volume 26,ACSC '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education theory
29,50,article,2899455,Ilias O. Pappas and Michail N. Giannakos and Letizia  Jaccheri,,,,Investigating Factors Influencing Students' Intention to Dropout Computer Science Studies,198--203,,6.0,"computer science education, dropout, higher education., retention",10.1145/2899415.2899455,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '16,,978-1-4503-4231-5,"Arequipa, Peru",ACM,"New York, NY, USA",computing education theory
30,53,article,2644924,Josh  Tenenberg,,,,Asking Research Questions: Theoretical Presuppositions,16:1--16:8,16.0,8.0,"CS education research, Theory, cognition, research questions",10.1145/2644924,Trans. Comput. Educ.,November 2014,14,3,,September,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
31,56,article,2482587,Arpita  Ghosh and Jon  Kleinberg,,,,Incentivizing Participation in Online Forums for Education,525--542,,18.0,"education forums, game theory, incentives, online education, peer-learning",10.1145/2482540.2482587,,,,,,,2013.0,,Proceedings of the Fourteenth ACM Conference on Electronic Commerce,EC '13,,978-1-4503-1962-1,"Philadelphia, Pennsylvania, USA",ACM,"New York, NY, USA",computing education theory
32,58,article,2597964,Ricardo  Hoar,,,,Generally Educated In The 21st Century: The Importance Of Computer Literacy In An Undergraduate Curriculum,6:1--6:5,6.0,5.0,"Computer Fluency, Computer Literacy, General Education",10.1145/2597959.2597964,,,,,,,2014.0,,Proceedings of the Western Canadian Conference on Computing Education,WCCCE '14,,978-1-4503-2899-9,"Richmond, BC, Canada",ACM,"New York, NY, USA",computing education theory
33,63,article,3017763,Shelly  Engelman and Brian  Magerko and Tom  McKlin and Morgan  Miller and Doug  Edwards and Jason  Freeman,,,,Creativity in Authentic STEAM Education with EarSketch,183--188,,6.0,"computer science education, creativity, earsketch, steam education",10.1145/3017680.3017763,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing education theory
34,64,article,2325373,Barry  Fagin and Dino  Schweitzer,,,,MyTuringTable: A Teaching Tool to Accompany Turing's Original Paper on Computability,333--338,,6.0,"computer science education, educational software, history of computing, turing machines",10.1145/2325296.2325373,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computing education theory
35,65,article,2674691,Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner,,,,Experiences in Course Design Using Neo-piagetian Theory,81--90,,10.0,"computer science education, course design, neo-piaget",10.1145/2674683.2674691,,,,,,,2014.0,,Proceedings of the 14th Koli Calling International Conference on Computing Education Research,Koli Calling '14,,978-1-4503-3065-7,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
36,66,article,3103053,Patr&#237;cia Gomes Fernandes Matsubara and Caroline Lima Corr&#234;a da Silva,,,,Game Elements in a Software Engineering Study Group: A Case Study,160--169,,10.0,"gamification, grounded-theory, software engineering education",10.1109/ICSE-SEET.2017.8,,,,,,,2017.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,ICSE-SEET '17,,978-1-5386-2671-9,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",computing education theory
37,67,article,319076,Richard E. Pattis,,,,A Philosophy and Example of CS-1 Programming Projects,34--39,,6.0,,10.1145/323410.319076,,,,,,,1990.0,,Proceedings of the Twenty-first SIGCSE Technical Symposium on Computer Science Education,SIGCSE '90,,0-89791-346-9,"Washington, D.C., USA",ACM,"New York, NY, USA",computing education theory
39,69,article,2344428,Daniel  Binkele-Raible and Henning  Fernau and Fedor V. Fomin and Daniel  Lokshtanov and Saket  Saurabh and Yngve  Villanger,,,,Kernel(s) for Problems with No Kernel: On Out-trees with Many Leaves,38:1--38:19,38.0,19.0,"Kernelization, lower bounds, max-leaf spanning tree, out-branching, parameterized algorithms",10.1145/2344422.2344428,ACM Trans. Algorithms,September 2012,8,4,,October,2012.0,1549-6325,,,,,,ACM,"New York, NY, USA",computing education theory
40,70,article,3141900,Violetta  Lonati and Mattia  Monga and Dario  Malchiodi and Anna  Morpurgo,,,,How Presentation Affects the Difficulty of Computational Thinking Tasks: An IRT Analysis,60--69,,10.0,"K-12 education, bebras, computational thinking, informal education, item response theory",10.1145/3141880.3141900,,,,,,,2017.0,,Proceedings of the 17th Koli Calling Conference on Computing Education Research,Koli Calling '17,,978-1-4503-5301-4,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
41,74,article,283024,V.  Dagdilelis and M.  Satratzemi,,,,DIDAGRAPH: Software for Teaching Graph Theory Algorithms,64--68,,5.0,"computer support for teaching graph theory, educational software, graph visualisation, principles of design educational software",10.1145/290320.283024,SIGCSE Bull.,Sept. 1998,30,3,,August,1998.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
43,76,article,1953245,Mehran  Sahami,,,,A Course on Probability Theory for Computer Scientists,263--268,,6.0,"computing curricula, discrete mathematics, probability theory",10.1145/1953163.1953245,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",computing education theory
44,77,article,2780366,Jennyfer Lawrence Taylor and Jessica  Tsimeris and XuanYing  Zhu and Duncan  Stevenson and Tom  Gedeon,,,,Observations from Teaching HCI to Chinese Students in Australia,31--35,,5.0,"HCI Education, Human Computer Interaction",10.1145/2776888.2780366,,,,,,,2015.0,,Proceedings of the ASEAN CHI Symposium'15,ASEAN CHI Symposium'15,,978-1-4503-3625-3,"Seoul, Republic of Korea",ACM,"New York, NY, USA",computing education theory
45,80,article,2983524,Antti  Knutas and Antti  Herala and Erno  Vanhala and Jouni  Ikonen,,,,The Flipped Classroom Method: Lessons Learned from Flipping Two Programming Courses,423--430,,8.0,"Flipped classroom, computer science education, computer-supported education, programming",10.1145/2983468.2983524,,,,,,,2016.0,,Proceedings of the 17th International Conference on Computer Systems and Technologies 2016,CompSysTech '16,,978-1-4503-4182-0,"Palermo, Italy",ACM,"New York, NY, USA",computing education theory
46,84,article,2538971,Claudia  Szabo,,,,Evaluating GameDevTycoon for Teaching Software Engineering,403--408,,6.0,"computer science education, software engineering",10.1145/2538862.2538971,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education theory
47,85,article,2999545,Outi  Laiti,,,,The Ethnoprogramming Model,150--154,,5.0,"computer science education, ethnocomputing, ethnoprogramming",10.1145/2999541.2999545,,,,,,,2016.0,,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,Koli Calling '16,,978-1-4503-4770-9,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
48,89,article,2094014,Daniel  Ayala and Ouri  Wolfson and Bo  Xu and Bhaskar  Dasgupta and Jie  Lin,,,,Parking Slot Assignment Games,299--308,,10.0,"game theory, parking",10.1145/2093973.2094014,,,,,,,2011.0,,Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,GIS '11,,978-1-4503-1031-4,"Chicago, Illinois",ACM,"New York, NY, USA",computing education theory
49,92,article,2785807,Wanda M. Kunkle and Robert B. Allen,,,,The Impact of Different Teaching Approaches and Languages on Student Learning of Introductory Programming Concepts,3:1--3:26,3.0,26.0,Education,10.1145/2785807,Trans. Comput. Educ.,February 2016,16,1,,January,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
50,93,article,1509024,Geoffrey M. Draper and Robert R. Kessler and Richard F. Riesenfeld,,,,A History of Computing Course with a Technical Focus,458--462,,5.0,"computer science education, history of computing",10.1145/1539024.1509024,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
52,95,article,268789,Tajudeen A. Atolagbe and Vlatka  Hlupic and Simon J. E. Taylor and Ray J. Paul,,,,Interactive Strategies for Developing Intuitive Knowledge As Basis for Simulation Modeling Education,1394--1402,,9.0,,10.1145/268437.268789,,,,,,,1997.0,,Proceedings of the 29th Conference on Winter Simulation,WSC '97,,0-7803-4278-X,"Atlanta, Georgia, USA",IEEE Computer Society,"Washington, DC, USA",computing education theory
53,96,article,1734411,Leigh Ann  Sudol and Cassandra  Studer,,,,Analyzing Test Items: Using Item Response Theory to Validate Assessments,436--440,,5.0,"assessment, item response theory",10.1145/1734263.1734411,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computing education theory
54,98,article,2732157,Paul  Gestwicki and Brian  McNely,,,,Interdisciplinary Projects in the Academic Studio,8:1--8:24,8.0,24.0,"Higher education, Scrum, computer science education, design-based research, interdisciplinary education, project-based learning, sociocultural cognition theory",10.1145/2732157,Trans. Comput. Educ.,March 2016,16,2,,March,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
55,100,article,611958,Michael T. Grinder,,,,A Preliminary Empirical Evaluation of the Effectiveness of a Finite State Automaton Animator,157--161,,5.0,"animation, evaluation, theory of computation, visualization",10.1145/792548.611958,SIGCSE Bull.,January 2003,35,1,,January,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
57,103,article,2538925,Fredrik  Heintz and Inger  Erlander Klein,,,,The Design of Sweden's First 5-year Computer Science and Software Engineering Program,199--204,,6.0,"computational thinking, computer science education, software engineering",10.1145/2538862.2538925,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education theory
58,108,article,1121460,Timothy M. White and Thomas P. Way,,,,jFAST: A Java Finite Automata Simulator,384--388,,5.0,"educational software, finite automata, finite state machines, simulation, theory of computation education",10.1145/1124706.1121460,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
60,111,article,159593,Mitchel  Resnick,,,,Behavior Construction Kits,64--71,,8.0,education,10.1145/159544.159593,Commun. ACM,July 1993,36,7,,July,1993.0,0001-0782,,,,,,ACM,"New York, NY, USA",computing education theory
1,11,article,2576872,Aman  Yadav and Chris  Mayfield and Ninger  Zhou and Susanne  Hambrusch and John T.  Korb,,,,Computational Thinking in Elementary and Secondary Teacher Education,5:1--5:16,5.0,16.0,"Computational thinking, teacher education, teaching/learning strategies",10.1145/2576872,Trans. Comput. Educ.,Mar-14,14,1,,March,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education strategies
3,13,article,2591715,Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner,,,,Identifying Computer Science Self-regulated Learning Strategies,291--296,,6.0,"computer science education, self-regulation strategies",10.1145/2591708.2591715,,,,,,,2014.0,,Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education,ITiCSE '14,,978-1-4503-2833-3,"Uppsala, Sweden",ACM,"New York, NY, USA",computing education strategies
4,14,article,2844604,Robert  Deloatch and Brian P. Bailey and Alex  Kirlik,,,,Measuring Effects of Modality on Perceived Test Anxiety for Computer Programming Exams,291--296,,6.0,"computer-based testing, programming-centric exam, test anxiety",10.1145/2839509.2844604,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
5,18,article,1862723,Michael  de Raadt and Richard  Watson and Mark  Toleman,,,,Teaching and Assessing Programming Strategies Explicitly,45--54,,10.0,"curriculum, introductory programming, strategies",,,,,,,,2009.0,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
6,19,article,2823345,Ilias  Gerostathopoulos and Tomas  Bures and Petr  Hnetynka and Adam  Hujecek and Frantisek  Plasil and Dominik  Skoda,,,,Strengthening Adaptation in Cyber-Physical Systems via Meta-Adaptation Strategies,13:1--13:25,13.0,25.0,"Meta-adaptation strategies, adaptation strategies",10.1145/2823345,ACM Trans. Cyber-Phys. Syst.,Jul-17,1,3,,April,2017.0,2378-962X,,,,,,ACM,"New York, NY, USA",computing education strategies
7,20,article,2844632,Aaron  Bloomfield and Borja  Sotomayor,,,,A Programming Contest Strategy Guide,609--614,,6.0,"icpc, programming contest, strategy",10.1145/2839509.2844632,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
8,21,article,2667204,Angela  Carbone and Jason  Ceddia and   Simon and Daryl  D'Souza and Raina  Mason,,,,Student Concerns in Introductory Programming Courses,41--50,,10.0,"ICT education, education quality in ICT, teaching strategy, thematic analysis",,,,,,,,2013.0,,Proceedings of the Fifteenth Australasian Computing Education Conference - Volume 136,ACE '13,,978-1-921770-21-0,"Adelaide, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
9,22,article,2934494,Mike  Mannion and Juha  Savolainen,,,,Choosing Reusable Software Strategies,227--231,,5.0,"reuse, strategy",10.1145/2934466.2934494,,,,,,,2016.0,,Proceedings of the 20th International Systems and Software Product Line Conference,SPLC '16,,978-1-4503-4050-2,"Beijing, China",ACM,"New York, NY, USA",computing education strategies
10,23,article,2978238,Karen H. Jin and Kathleen  Haynie and Gavin  Kearns,,,,Teaching Elementary Students Programming in a Physical Computing Classroom,85--90,,6.0,"k-12, physical computing, teaching strategies",10.1145/2978192.2978238,,,,,,,2016.0,,Proceedings of the 17th Annual Conference on Information Technology Education,SIGITE '16,,978-1-4503-4452-4,"Boston, Massachusetts, USA",ACM,"New York, NY, USA",computing education strategies
11,24,article,2870663,Fabiane Barreto Vavassori Benitti and Leonardo  Sommariva,,,,Evaluation of a Game Used to Teach Usability to Undergraduate Students in Computer Science,21--39,,19.0,"educational games, learning strategies, serious games, teaching strategies, usability engineering",,J. Usability Studies,Nov-15,11,1,,November,2015.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing education strategies
12,26,article,1999819,Angela  Carbone and Jessica  Wong and Jason  Ceddia,,,,A Scheme for Improving ICT Units with Critically Low Student Satisfaction,253--257,,5.0,"action research, education quality in ict, ict education, teaching strategy",10.1145/1999747.1999819,,,,,,,2011.0,,Proceedings of the 16th Annual Joint Conference on Innovation and Technology in Computer Science Education,ITiCSE '11,,978-1-4503-0697-3,"Darmstadt, Germany",ACM,"New York, NY, USA",computing education strategies
13,30,article,1121356,Michael R. Wick and Daniel E. Stevenson,,,,On Using Scheme to Introduce Prolog,41--45,,5.0,"computer science education, programming languages, prolog, scheme, teaching strategy",10.1145/1124706.1121356,SIGCSE Bull.,Mar-06,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
15,32,article,2844608,Cindy  Norris,,,,An Examination of Layers of Quizzing in Two Computer Systems Courses,48--53,,6.0,"computer science education, quizzing",10.1145/2839509.2844608,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
16,33,article,2037282,Teresa  Dahlberg and Tiffany  Barnes and Kim  Buch and Audrey  Rorrer,,,,The STARS Alliance: Viable Strategies for Broadening Participation in Computing,18:1--18:25,18.0,25.0,"BPC, Broadening participation in computing, computing curricula, education, service-learning",10.1145/2037276.2037282,Trans. Comput. Educ.,Oct-11,11,3,,October,2011.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education strategies
17,34,article,2968109,Britton  Horn and Amy K. Hoover and Jackie  Barnes and Yetunde  Folajimi and Gillian  Smith and Casper  Harteveld,,,,Opening the Black Box of Play: Strategy Analysis of an Educational Game,142--153,,12.0,"computational thinking, educational games, evaluation, playtrace analysis",10.1145/2967934.2968109,,,,,,,2016.0,,Proceedings of the 2016 Annual Symposium on Computer-Human Interaction in Play,CHI PLAY '16,,978-1-4503-4456-2,"Austin, Texas, USA",ACM,"New York, NY, USA",computing education strategies
18,35,article,1822167,Ulrich  Kiesmueller and Sebastian  Sossalla and Torsten  Brinda and Korbinian  Riedhammer,,,,Online Identification of Learner Problem Solving Strategies Using Pattern Recognition Methods,274--278,,5.0,"algorithms, computer science education, pattern recognition, problem solving strategies, secondary education, tool-based analysis",10.1145/1822090.1822167,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing education strategies
19,36,article,1095758,David W. Valentine,,,,Practical Computer Security: A New Service Course Based Upon the National Strategy to Secure Cyberspace,185--189,,5.0,"education, model syllabi, security",10.1145/1095714.1095758,,,,,,,2005.0,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",computing education strategies
20,37,article,1806515,Veronica  Dahl and Diana  Cukierman and Gemma  Bel-Enguix and M. Dolores Jim&#233;nez-Lopez,,,,Logic Programming: Teaching Strategies for Students with No Programming Background,2:1--2:5,2.0,5.0,"computer and information science education, computers and education, humanities, literacy, logic programming",10.1145/1806512.1806515,,,,,,,2010.0,,Proceedings of the 15th Western Canadian Conference on Computing Education,WCCCE '10,,978-1-4503-0098-8,"Kelowna, British Columbia, Canada",ACM,"New York, NY, USA",computing education strategies
21,40,article,3011808,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Student's Choice of Assessment,22:1--22:10,22.0,10.0,"Education, assessment, educational patterns",10.1145/3011784.3011808,,,,,,,2016.0,,Proceedings of the 21st European Conference on Pattern Languages of Programs,EuroPlop '16,,978-1-4503-4074-8,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing education strategies
22,41,article,1352784,Suresh K.  Bhavnani and Frederick A.  Peck and Frederick  Reif,,,,Strategy-Based Instruction: Lessons Learned in Teaching the Effective and Efficient Use of Computer Applications,2:1--2:43,2.0,43.0,"Strategies, strategy-based instruction, teaching, training",10.1145/1352782.1352784,ACM Trans. Comput.-Hum. Interact.,May-08,15,1,,May,2008.0,1073-0516,,,,,,ACM,"New York, NY, USA",computing education strategies
23,42,article,2247583,Daniela  Damian and Marian  Petre and Mariel  Miller and Allyson F. Hadwin,,,,Instructional Strategies in the EGRET Course: An International Graduate Forum on Becoming a Researcher,41--45,,5.0,"computer science education, computer-supported collaborative learning, instructional design",10.1145/2247569.2247583,,,,,,,2012.0,,Proceedings of the Seventeenth Western Canadian Conference on Computing Education,WCCCE '12,,978-1-4503-1407-7,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA",computing education strategies
