,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
49,article,979941,James D. Allert,,,,The Effectiveness of Innovative Approaches to CSI: Comparing Opinion to Outcome,151--157,,7.0,"PDA, assessment, educational software, handheld computer, learning theory, visualization",,,,,,,,2004.0,,Proceedings of the 27th Australasian Conference on Computer Science - Volume 26,ACSC '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education theory
53,article,2644924,Josh  Tenenberg,,,,Asking Research Questions: Theoretical Presuppositions,16:1--16:8,16,8.0,"CS education research, Theory, cognition, research questions",10.1145/2644924,Trans. Comput. Educ.,November 2014,14,3,,September,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
56,article,2482587,Arpita  Ghosh and Jon  Kleinberg,,,,Incentivizing Participation in Online Forums for Education,525--542,,18.0,"education forums, game theory, incentives, online education, peer-learning",10.1145/2482540.2482587,,,,,,,2013.0,,Proceedings of the Fourteenth ACM Conference on Electronic Commerce,EC '13,,978-1-4503-1962-1,"Philadelphia, Pennsylvania, USA",ACM,"New York, NY, USA",computing education theory
58,article,2597964,Ricardo  Hoar,,,,Generally Educated In The 21st Century: The Importance Of Computer Literacy In An Undergraduate Curriculum,6:1--6:5,6,5.0,"Computer Fluency, Computer Literacy, General Education",10.1145/2597959.2597964,,,,,,,2014.0,,Proceedings of the Western Canadian Conference on Computing Education,WCCCE '14,,978-1-4503-2899-9,"Richmond, BC, Canada",ACM,"New York, NY, USA",computing education theory
68,article,319076,Richard E. Pattis,,,,A Philosophy and Example of CS-1 Programming Projects,34--39,,6.0,,10.1145/319059.319076,SIGCSE Bull.,Feb. 1990,22,1,,February,1990.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
69,article,2344428,Daniel  Binkele-Raible and Henning  Fernau and Fedor V. Fomin and Daniel  Lokshtanov and Saket  Saurabh and Yngve  Villanger,,,,Kernel(s) for Problems with No Kernel: On Out-trees with Many Leaves,38:1--38:19,38,19.0,"Kernelization, lower bounds, max-leaf spanning tree, out-branching, parameterized algorithms",10.1145/2344422.2344428,ACM Trans. Algorithms,September 2012,8,4,,October,2012.0,1549-6325,,,,,,ACM,"New York, NY, USA",computing education theory
70,article,3141900,Violetta  Lonati and Mattia  Monga and Dario  Malchiodi and Anna  Morpurgo,,,,How Presentation Affects the Difficulty of Computational Thinking Tasks: An IRT Analysis,60--69,,10.0,"K-12 education, bebras, computational thinking, informal education, item response theory",10.1145/3141880.3141900,,,,,,,2017.0,,Proceedings of the 17th Koli Calling Conference on Computing Education Research,Koli Calling '17,,978-1-4503-5301-4,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
75,article,283024,V.  Dagdilelis and M.  Satratzemi,,,,DIDAGRAPH: Software for Teaching Graph Theory Algorithms,64--68,,5.0,"computer support for teaching graph theory, educational software, graph visualisation, principles of design educational software",10.1145/282991.283024,,,,,,,1998.0,,Proceedings of the 6th Annual Conference on the Teaching of Computing and the 3rd Annual Conference on Integrating Technology into Computer Science Education: Changing the Delivery of Computer Science Education,ITiCSE '98,,1-58113-000-7,"Dublin City Univ., Ireland",ACM,"New York, NY, USA",computing education theory
76,article,1953245,Mehran  Sahami,,,,A Course on Probability Theory for Computer Scientists,263--268,,6.0,"computing curricula, discrete mathematics, probability theory",10.1145/1953163.1953245,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",computing education theory
77,article,2780366,Jennyfer Lawrence Taylor and Jessica  Tsimeris and XuanYing  Zhu and Duncan  Stevenson and Tom  Gedeon,,,,Observations from Teaching HCI to Chinese Students in Australia,31--35,,5.0,"HCI Education, Human Computer Interaction",10.1145/2776888.2780366,,,,,,,2015.0,,Proceedings of the ASEAN CHI Symposium'15,ASEAN CHI Symposium'15,,978-1-4503-3625-3,"Seoul, Republic of Korea",ACM,"New York, NY, USA",computing education theory
89,article,2094014,Daniel  Ayala and Ouri  Wolfson and Bo  Xu and Bhaskar  Dasgupta and Jie  Lin,,,,Parking Slot Assignment Games,299--308,,10.0,"game theory, parking",10.1145/2093973.2094014,,,,,,,2011.0,,Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,GIS '11,,978-1-4503-1031-4,"Chicago, Illinois",ACM,"New York, NY, USA",computing education theory
92,article,2785807,Wanda M. Kunkle and Robert B. Allen,,,,The Impact of Different Teaching Approaches and Languages on Student Learning of Introductory Programming Concepts,3:1--3:26,3,26.0,Education,10.1145/2785807,Trans. Comput. Educ.,February 2016,16,1,,January,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
18,article,1862723,Michael  de Raadt and Richard  Watson and Mark  Toleman,,,,Teaching and Assessing Programming Strategies Explicitly,45--54,,10.0,"curriculum, introductory programming, strategies",,,,,,,,2009.0,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing accessibility education
34,article,2968109,Britton  Horn and Amy K. Hoover and Jackie  Barnes and Yetunde  Folajimi and Gillian  Smith and Casper  Harteveld,,,,Opening the Black Box of Play: Strategy Analysis of an Educational Game,142--153,,12.0,"computational thinking, educational games, evaluation, playtrace analysis",10.1145/2967934.2968109,,,,,,,2016.0,,Proceedings of the 2016 Annual Symposium on Computer-Human Interaction in Play,CHI PLAY '16,,978-1-4503-4456-2,"Austin, Texas, USA",ACM,"New York, NY, USA",computing accessibility education
40,article,3011808,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Student's Choice of Assessment,22:1--22:10,22,10.0,"Education, assessment, educational patterns",10.1145/3011784.3011808,,,,,,,2016.0,,Proceedings of the 21st European Conference on Pattern Languages of Programs,EuroPlop '16,,978-1-4503-4074-8,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing accessibility education
44,article,2760008,Richard J. Self,,,,"Governance Strategies for the Cloud, Big Data, and Other Technologies in Education",630--635,,6.0,"big data, cloud, education, emerging technology, governance, strategy",10.1109/UCC.2014.101,,,,,,,2014.0,,Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing,UCC '14,,978-1-4799-7881-6,,IEEE Computer Society,"Washington, DC, USA",computing accessibility education
51,article,330837,Kay  Wiese and Scott D. Goodwin,,,,Keep-best Reproduction: A Selection Strategy for Genetic Algorithms,343--348,,6.0,"applications, selection strategies",10.1145/330560.330837,,,,,,,1998.0,,Proceedings of the 1998 ACM Symposium on Applied Computing,SAC '98,,0-89791-969-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing accessibility education
54,article,2677252,Mary Lou  Maher and Celine  Latulipe and Heather  Lipford and Audrey  Rorrer,,,,Flipped Classroom Strategies for CS Education,218--223,,6.0,"flipped classroom, online video, strategies for active learning",10.1145/2676723.2677252,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computing accessibility education
55,article,2449329,Michael  de Raadt and Mark  Toleman and Richard  Watson,,,,Incorporating Programming Strategies Explicitly into Curricula,41--52,,12.0,"curriculum, introductory programming, programming strategies",,,,,,,,2007.0,,Proceedings of the Seventh Baltic Sea Conference on Computing Education Research - Volume 88,Koli Calling '07,,978-1-920682-69-9,"Koli National Park, Finland","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing accessibility education
56,article,2844561,Michelle  Craig and Diane  Horton and Daniel  Zingaro and Danny  Heap,,,,Introducing and Evaluating Exam Wrappers in CS2,285--290,,6.0,"cs2, exam wrappers, experiment, metacognition, study strategies",10.1145/2839509.2844561,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing accessibility education
57,article,1734412,Alex  Gerdes and Johan T. Jeuring and Bastiaan J. Heeren,,,,Using Strategies for Assessment of Programming Exercises,441--445,,5.0,"automatic assessment, functional programming, haskell, strategies",10.1145/1734263.1734412,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computing accessibility education
59,article,365107,Suresh K. Bhavnani and Frederick  Reif and Bonnie E. John,,,,Beyond Command Knowledge: Identifying and Teaching Strategic Knowledge for Using Complex Computer Applications,229--236,,8.0,"GOMS, instruction, strategies, training",10.1145/365024.365107,,,,,,,2001.0,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '01,,1-58113-327-8,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing accessibility education
60,article,2855353,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Assessment-driven Course Design Foundational Patterns,31:1--31:13,31,13.0,"assessment, education, educational patterns",10.1145/2855321.2855353,,,,,,,2015.0,,Proceedings of the 20th European Conference on Pattern Languages of Programs,EuroPLoP '15,,978-1-4503-3847-9,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing accessibility education
62,article,222177,Maria  Klawe and Eileen  Phillips,,,,A Classroom Study: Electronic Games Engage Children As Researchers,209--213,,5.0,"classroom strategies, computer-supported collaborative learning, electronic games, human-computer interaction, mathematics education",10.3115/222020.222177,,,,,,,1995.0,,The First International Conference on Computer Support for Collaborative Learning,CSCL '95,,0-8058-2243-7,"Indiana Univ., Bloomington, Indiana, USA",L. Erlbaum Associates Inc.,"Hillsdale, NJ, USA",computing accessibility education
66,article,1352191,Laurie  Murphy and Gary  Lewandowski and Ren&#233;e  McCauley and Beth  Simon and Lynda  Thomas and Carol  Zander,,,,"Debugging: The Good, the Bad, and the Quirky -- a Qualitative Analysis of Novices' Strategies",163--167,,5.0,"debugging, novice programming, pedagogy, strategies",10.1145/1352322.1352191,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing accessibility education
67,article,2702261,Jonathan  Waddington and Conor  Linehan and Kathrin  Gerling and Kieran  Hicks and Timothy L. Hodgson,,,,Participatory Design of Therapeutic Video Games for Young People with Neurological Vision Impairment,3533--3542,,10.0,"games, rehabilitation, therapy, vision, young people",10.1145/2702123.2702261,,,,,,,2015.0,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA",computing accessibility education
70,article,2691356,Hieke  Keuning and Bastiaan  Heeren and Johan  Jeuring,,,,Strategy-based Feedback in a Programming Tutor,43--54,,12.0,"feedback generation, programming strategies, programming tutor",10.1145/2691352.2691356,,,,,,,2014.0,,Proceedings of the Computer Science Education Research Conference,CSERC '14,,978-1-4503-3347-4,"Berlin, Germany",ACM,"New York, NY, USA",computing accessibility education
72,article,2814145,Marcelo  Ladeira and Fernando de Albuquerque Linhares,,,,A Verbal Anchor Based Fuzzy System to Help Business Managers Build Balanced Scorecards Strategy Maps,73:549--73:554,73,6.0,"Balanced Scorecard, Fuzzy Systems, Strategy, Strategy Maps",,,,,,,,2015.0,,Proceedings of the Annual Conference on Brazilian Symposium on Information Systems: Information Systems: A Computer Socio-Technical Perspective - Volume 1,SBSI 2015,,,"Goiania, Goias, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",computing accessibility education
82,article,2483736,Angela  Carbone and Jason  Ceddia,,,,Common Areas for Improvement in ICT Units That Have Critically Low Student Satisfaction,167--176,,10.0,"ICT education, education quality in ICT, ground theory analysis, teaching strategy",,,,,,,,2012.0,,Proceedings of the Fourteenth Australasian Computing Education Conference - Volume 123,ACE '12,,978-1-921770-04-3,"Melbourne, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing accessibility education
83,article,2999559,Sylvia  Stuurman and Harrie  Passier and Erik  Barendsen,,,,Analyzing Students' Software Redesign Strategies,110--119,,10.0,"design patterns, education, procedural guidelines, redesign, refactoring",10.1145/2999541.2999559,,,,,,,2016.0,,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,Koli Calling '16,,978-1-4503-4770-9,"Koli, Finland",ACM,"New York, NY, USA",computing accessibility education
85,article,1140130,Pedro  Guerreiro and Katerina  Georgouli,,,,Combating Anonymousness in Populous CS1 and CS2 Courses,8--12,,5.0,"CS1, CS2, content management system, educational strategies, introductory programming",10.1145/1140124.1140130,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computing accessibility education
18,article,1149374,  Social Computing Research Group,,,,Understanding Computer Mediated Social Experience: Implications for CSCL,617--621,,5.0,"face-to-face learning, networked multiplayer games, online learning, role of the expert, social engagement",,,,,,,,2005.0,,Proceedings of th 2005 Conference on Computer Support for Collaborative Learning: Learning 2005: The Next 10 Years!,CSCL '05,,0-8058-5782-6,"Taipei, Taiwan",International Society of the Learning Sciences,,computing usability education
31,article,882062,Roger  Grice and Bill  Hart-Davidson,,,,Mapping the Expanding Landscape of Usability: The Case of Distributed Education,159--167,,9.0,"HCI, distance education, distributed education, usability",10.1145/882061.882062,ACM J. Comput. Doc.,November 2002,26,4,,November,2002.0,1527-6805,,,,,,ACM,"New York, NY, USA",computing usability education
33,article,122392,CORPORATE  The Parallel Computing Forum,,,,PCF Parallel Fortran Extensions,1--57,,57.0,,10.1145/122391.122392,SIGPLAN Fortran Forum,Sept. 1991,10,3,,September,1991.0,1061-7264,,,,,,ACM,"New York, NY, USA",computing usability education
34,article,1111374,Eduardo Hideki Tanaka and S&#237;lvia Am&#233;lia Bim and Helo&#237;sa Vieira da Rocha,,,,Comparing Accessibility Evaluation and Usability Evaluation in Hag\'{A}Qu\^{E},139--147,,9.0,"accessibility evaluation, computers and education, usability evaluation",10.1145/1111360.1111374,,,,,,,2005.0,,Proceedings of the 2005 Latin American Conference on Human-computer Interaction,CLIHC '05,,1-59593-224-0,"Cuernavaca, Mexico",ACM,"New York, NY, USA",computing usability education
36,article,1029567,Katherine E. Thompson and Evelyn P. Rozanski and Anne R. Haake,,,,"Here, There, Anywhere: Remote Usability Testing That Works",132--137,,6.0,"human-computer interaction, remote usability testing, usability testing",10.1145/1029533.1029567,,,,,,,2004.0,,Proceedings of the 5th Conference on Information Technology Education,CITC5 '04,,1-58113-936-5,"Salt Lake City, UT, USA",ACM,"New York, NY, USA",computing usability education
42,article,1109554,Stuart  MacFarlane and Gavin  Sim and Matthew  Horton,,,,Assessing Usability and Fun in Educational Software,103--109,,7.0,"children, computer-assisted learning, educational software, evaluation, fun, usability",10.1145/1109540.1109554,,,,,,,2005.0,,Proceedings of the 2005 Conference on Interaction Design and Children,IDC '05,,1-59593-096-5,"Boulder, Colorado",ACM,"New York, NY, USA",computing usability education
43,article,355477,Jenna  Burrell and Paul  Treadwell and Geri K. Gay,,,,Designing for Context: Usability in a Ubiquitous Environment,80--84,,5.0,"context-aware computing, mobile computing, social navigation",10.1145/355460.355477,,,,,,,2000.0,,Proceedings on the 2000 Conference on Universal Usability,CUU '00,,1-58113-314-6,"Arlington, Virginia, USA",ACM,"New York, NY, USA",computing usability education
52,article,2037314,Oronzo  Parlangeli and Guido  Mengoni and Stefano  Guidi,,,,The Effect of System Usability and Multitasking Activities in Distance Learning,59--64,,6.0,"distance education, multitasking, usability, user interface",10.1145/2037296.2037314,,,,,,,2011.0,,Proceedings of the 9th ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction: Facing Complexity,CHItaly,,978-1-4503-0876-2,"Alghero, Italy",ACM,"New York, NY, USA",computing usability education
59,article,2000761,E. G. Todd and E. A. Kemp and C. H. E. Phillips,,,,UMM: A Maturity Model for UI-pattern Languages,33--40,,8.0,"TUI, UMM, education, maturity model, pattern language, user interface",10.1145/2000756.2000761,,,,,,,2011.0,,Proceedings of the 12th Annual Conference of the New Zealand Chapter of the ACM Special Interest Group on Computer-Human Interaction,CHINZ '11,,978-1-4503-0676-8,"Hamilton, New Zealand",ACM,"New York, NY, USA",computing usability education
60,article,1999626,Edna  Magalh&#227;es and Viviane  Gomes and Alexandre  Rodrigues and Leonardo  Santos and Tayana  Conte,,,,Impacto Da Usabilidade Na Educa\c{C}\~{A}O a Dist\^{A}Ncia: Um Estudo De Caso No Moodle IFAM,231--236,,6.0,"Moodle, communicability evaluation, distant education, usability evaluation",,,,,,,,2010.0,,Proceedings of the IX Symposium on Human Factors in Computing Systems,IHC '10,,,"Belo Horizonte, Minas Gerais, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",computing usability education
63,article,2817327,Maury Elizabeth Brown and Daniel L. Hocutt,,,,"Learning to Use, Useful for Learning: A Usability Study of Google Apps for Education",160--181,,22.0,"Google apps for education, cloud-computing, first-year composition, instructional technology, networked learning communities, student motivation, usability testing",,J. Usability Studies,August 2015,10,4,,August,2015.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing usability education
69,article,1273688,  Simon,,,,Mandatory Fields: A Case Study in the Divergence Between Education and Practice,133--139,,7.0,"data integrity, mandatory fields, names, usability",,,,,,,,2007.0,,Proceedings of the Ninth Australasian Conference on Computing Education - Volume 66,ACE '07,,1-920-68246-5,"Ballarat, Victoria, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing usability education
73,article,1139095,Ester  Baauw and Mathilde M. Bekker and Panos  Markopoulos,,,,Assessing the Applicability of the Structured Expert Evaluation Method (SEEM) for a Wider Age Group,73--80,,8.0,"SEEM, analytical evaluation methods, children, educational computer games, fun, usability",10.1145/1139073.1139095,,,,,,,2006.0,,Proceedings of the 2006 Conference on Interaction Design and Children,IDC '06,,,"Tampere, Finland",ACM,"New York, NY, USA",computing usability education
74,article,1806417,Asmaa  Alsumait and Asma  Al-Osaimi,,,,Usability Heuristics Evaluation for Child e-Learning Applications,425--430,,6.0,"e-learning, human computer interaction, usability evaluation",10.1145/1806338.1806417,,,,,,,2009.0,,Proceedings of the 11th International Conference on Information Integration and Web-based Applications &Amp; Services,iiWAS '09,,978-1-60558-660-1,"Kuala Lumpur, Malaysia",ACM,"New York, NY, USA",computing usability education
78,article,2525308,Rafael R. Wanderley and Rafael  Amaral and Victor  Ximenes and Devendra  Tewari and Sriganesh  Madhvanath and Ramadevi  Vennelakanti,,,,DESI: A Virtual Classroom System for Distance Education: A Design Exploration,388--399,,12.0,"collaboration, distance education, interaction design, multimodal, presence, usability, virtual classroom",10.1145/2525194.2525308,,,,,,,2013.0,,Proceedings of the 11th Asia Pacific Conference on Computer Human Interaction,APCHI '13,,978-1-4503-2253-9,"Bangalore, India",ACM,"New York, NY, USA",computing usability education
79,article,778725,Jason  Elliott and Amy  Bruckman,,,,Design of a 3D Interactive Math Learning Environment,64--74,,11.0,"3D, CSCL, constructionism, education applications, math learning, online communities, usability",10.1145/778712.778725,,,,,,,2002.0,,"Proceedings of the 4th Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques",DIS '02,,1-58113-515-7,"London, England",ACM,"New York, NY, USA",computing usability education
83,article,2107568,Rana  Al-Hajri and Salah  Al-Sharhan and Ahmed  Al-Hunaiyyan and Tareq  Alothman,,,,Design of Educational Multimedia Interfaces: Individual Differences of Learners,12:1--12:5,12,5.0,"HCI, e-learning, educational multimedia and hypermedia, interface design, usability",10.1145/2107556.2107568,,,,,,,2011.0,,Proceedings of the Second Kuwait Conference on e-Services and e-Systems,KCESS '11,,978-1-4503-0793-2,"Kuwait City, Kuwait",ACM,"New York, NY, USA",computing usability education
84,article,3106169,James  Prather and Raymond  Pettit and Kayla Holcomb McMurry and Alani  Peters and John  Homer and Nevan  Simone and Maxine  Cohen,,,,On Novices' Interaction with Compiler Error Messages: A Human Factors Approach,74--82,,9.0,"CS1, HCI, automated assessment tools, education, ethnography, human factors, usability",10.1145/3105726.3106169,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on International Computing Education Research,ICER '17,,978-1-4503-4968-0,"Tacoma, Washington, USA",ACM,"New York, NY, USA",computing usability education
86,article,2019119,Cindy  Poore-Pariseau,,,,Online Learning: Designing for All Users,15:147--15:156,15,10.0,"Universal Design for Learning, accommodations, disabilities, disability laws, distance learning, higher education, instructional design, online learning, postsecondary education, usability",,J. Usability Studies,August 2010,5,4,,August,2010.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing usability education
87,article,3131105,J.  Vuorio and J.  Okkonen and J.  Viteli,,,,Enhancing User Value of Educational Technology by Three Layer Assessment,220--226,,7.0,"capability maturity model, educational technology, focus group, usability, user experience",10.1145/3131085.3131105,,,,,,,2017.0,,Proceedings of the 21st International Academic Mindtrek Conference,AcademicMindtrek '17,,978-1-4503-5426-4,"Tampere, Finland",ACM,"New York, NY, USA",computing usability education
89,article,1357074,Saul  Greenberg and Bill  Buxton,,,,Usability Evaluation Considered Harmful (Some of the Time),111--120,,10.0,"interface critiques, teaching usability, usability testing",10.1145/1357054.1357074,,,,,,,2008.0,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '08,,978-1-60558-011-1,"Florence, Italy",ACM,"New York, NY, USA",computing usability education
91,article,2442885,Brittany  Fiore-Silfvast and Carl  Hartung and Kirti  Iyengar and Sharad  Iyengar and Kiersten  Israel-Ballard and Noah  Perin and Richard  Anderson,,,,Mobile Video for Patient Education: The Midwives' Perspective,2:1--2:10,2,10.0,"health education, mHealth, open data kit, postpartum visits, smartphone, usability, video",10.1145/2442882.2442885,,,,,,,2013.0,,Proceedings of the 3rd ACM Symposium on Computing for Development,ACM DEV '13,,978-1-4503-1856-3,"Bangalore, India",ACM,"New York, NY, USA",computing usability education
92,article,1822166,David  Cox,,,,"Usability, Engagement &#38; Development of a Digital Usability Laboratory in a Higher Education Environment",269--273,,5.0,"HCI, analysis, computer, engagement, evaluation, human, interaction, lab, laboratory, participant, recording, usability, user",10.1145/1822090.1822166,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing usability education
93,article,3081355,Jagmohan  Chauhan and Yining  Hu and Suranga  Seneviratne and Archan  Misra and Aruna  Seneviratne and Youngki  Lee,,,,BreathPrint: Breathing Acoustics-based User Authentication,278--291,,14.0,"authentication, breathing gestures, security, usability",10.1145/3081333.3081355,,,,,,,2017.0,,"Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",MobiSys '17,,978-1-4503-4928-4,"Niagara Falls, New York, USA",ACM,"New York, NY, USA",computing usability education
94,article,274379,Guey-Fa  Chiou and Cheng-Chi  Wu,,,,A Computer Curriculum Guideline for Junior High Schools in Taiwan: Its Impacts and Issues,21--29,,9.0,"computer curriculum, computer education, computer education policy, curriculum guideline",10.1145/274375.274379,SIGCUE Outlook,Jan./April 1997,25,1-2,,January,1997.0,0163-5735,,,,,,ACM,"New York, NY, USA",computing usability education
