"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Big data in modern higher education. Benefits and criticism","M. A. Nazarenko; T. V. Khronusova","Cybernetics Moscow Technological University, Moscow, Russia","2017 International Conference "Quality Management,Transport and Information Security, Information Technologies" (IT&QM&IS)","20171030","2017","","","676","679","Big Data technology is very efficient in some cases, however, it has some disadvantages. It should be applied to modern universities which current quality of education is high enough. Thus the universities have to satisfy several conditions, for example, providing broad sets of different type tasks, including group discussions, oral speeches, essays with more than one possible correct opinion, developing complex skills of their students; collecting information about courses, student's activities and progress, alumni skills. Undoubtedly, Big Data are not the only opportunity to develop quality of education. Many small universities provide private educational programs for small groups. Moreover, they offer their students more direct conversations with lecturers in words of mouth format. This educational strategy definitely has its own advantages. Usage of Big Data in Russia is possible, however, it claims increasing of higher education quality.","","CD:978-1-5386-0702-2; Electronic:978-1-5386-0703-9; POD:978-1-5386-0704-6","10.1109/ITMQIS.2017.8085914","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8085914","Big Data;complex skills;education;types of tasks;universities","Big Data;Educational programs;Medical services;Mouth","","","","","","","","","","24-30 Sept. 2017","","IEEE","IEEE Conference Publications"
"Implementation of intelligent recommendation system for learning resources","H. Li; J. Shi; S. Zhang; H. Yun","Department of Computer Science, Huaihai Institute of Technology, Lianyungang Jiangsu 222005, China","2017 12th International Conference on Computer Science and Education (ICCSE)","20171030","2017","","","139","144","With the development of internet and information technology, educational informatization is increasingly focusing on the use of modern technology to provide powerful teaching assistance. Learning resources intelligent recommendation is essential in Smart Education. The paper proposes two aspects of recommendation strategy. First is the basic recommendation strategy, which includes teaching process, error records and learning resources label record to recommend learning resources. Second is the student based collaborative filtering algorithm that uses genetic algorithm to optimize the interest degree function. It will recommend learning resources to students accurately and meet the students' learning needs.","","Electronic:978-1-5090-2508-4; POD:978-1-5090-2509-1; USB:978-1-5090-2507-7","10.1109/ICCSE.2017.8085478","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8085478","Smart Education;collaborative filtering;genetic algorithm;learning resource","Collaboration;Crawlers;Databases;Education;Filtering;Genetic algorithms;IEEE Sections","","","","","","","","","","22-25 Aug. 2017","","IEEE","IEEE Conference Publications"
"Vision Based Information Retrieval","A. Khan; J. P. Li; M. Y. Khann","University of Electronic Science and Technology of China","2016 13th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP)","20171023","2016","","","265","268","Vision phenomena with natural strategy are an ideal approach and easy task for human being to see, feel and understand. But that unstructured random scene perception and understanding is a challenging problem in visual image and processing research area. Vision science plays an important role in education, health, military etc. Accordingly here a new model “FL-SHODHANI” has been proposed for the above analysis. This model proceeds with an improvement of pictorial information, storage image data, transmission and representation of images. Then they obtained attributes are considered as sense with the observation, based on task limit. Accordingly this research work also studied various real world application problems related to medical, robotics, agriculture and geo-navigation using the above proposed method. Issues concerning drifts and robustness are analyzed and discussed here with respect to the original framework Hopefully the contribution made by this research work will make a new vista in the filled of advanced technology for the betterment of our global society.","","Electronic:978-1-5090-6126-6; POD:978-1-5090-6127-3","10.1109/ICCWAMTIP.2016.8079852","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8079852","Human-robot interaction;Information retrieval;Machine vision;Objects grasping","Machine vision;Robot kinematics;Robot sensing systems;Visualization","image representation;image retrieval","FL-SHODHANI model;image representation;image transmission;pictorial information;storage image data;vision based information retrieval;vision phenomena;vision science;visual image","","","","","","","","16-18 Dec. 2016","","IEEE","IEEE Conference Publications"
"The Effect of Active Learning Strategies on Communication Apprehension in Information Systems Students in Taiwan","T. Lie","The author is with the Department of Information Management, Yuan Ze University, Taoyuan City32003, Taiwan&#x00A0;(email: tinglie@saturn.yzu.edu.tw).","IEEE Transactions on Professional Communication","","2017","PP","99","1","9","Information-technology (IT) professionals play an important organizational role within service-oriented business environments through both their technical and their strong communication skills. However, developing communication competence as a part of IT higher education does not receive enough attention, especially since communication apprehension is a key obstacle in terms of achieving communication effectiveness. Thus, the research questions in this study are as follows: What kinds of activities applied in a classroom setting can increase students’ communication competence? What are the effects of active learning strategies on students’ communication apprehension? Situating the case: Understanding communication apprehension and its relationship with communication competence is necessary for designing effective communication courses for management information systems students. How the case was studied: This study implemented active learning strategies in three classes to develop students’ communication competence while decreasing their communication apprehension level. Surveys were administered to students to evaluate their level of communication apprehension. About the case: Adopting psychoeducation intervention strategies from occupational therapy, this study implemented different active learning strategies to further develop students’ communication competence as well as decrease their communication apprehension. The results show that the levels of communication apprehension among these classes decreased significantly following adoption of these strategies. Conclusions: Active learning strategies adopted in these classes were effective in terms of decreasing communication anxiety by increasing students’ willingness to communicate, which is the prerequisite for developing effective communication.","0361-1434;03611434","","10.1109/TPC.2017.2747378","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8052210","Active learning strategies;communication apprehension;communication competence;management information systems (MIS) students","Computer aided software engineering;Education;Games;Management information systems;Medical treatment;Speech","","","","","","","","","20170927","","","IEEE","IEEE Early Access Articles"
"ICT and ALS for Information Technology Programme Courses to Implement OBE: A Survey","R. Parkavi; P. Karthikeyan","Dept. of Inf. Technol., Thiagarajar Coll. of Eng., Madurai, India","2016 IEEE 4th International Conference on MOOCs, Innovation and Technology in Education (MITE)","20170925","2016","","","346","350","Educational Technology plays a vital role in engineering courses. Technology changed from time to time from traditional method of teaching (chalk and Talk) to ICT (Information and Communication Technology) tools supported learning. In this paper, a detailed survey has been made for improving the teaching learning process in the programme of Information Technology (IT) courses by using ICT tools and Active Learning Strategies (ALS) to implement Outcome Based Education (OBE).","","Electronic:978-1-5090-1062-2; POD:978-1-5090-1063-9","10.1109/MITE.2016.074","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8049108","ALS (Active Learning Strategies);Information Technology;Information and Communication Technology (ICT);Outcome Based Education (OBE)","Computer security;Data structures;Education;Information systems;Information technology;Software;Tools","computer aided instruction;computer science education;educational courses;teaching","ALS;ICT tools;IT courses;OBE;active learning strategies;educational technology;engineering courses;information and communication technology tools;information technology programme courses;learning process;outcome based education;teaching","","","","","","","","9-10 Dec. 2016","","IEEE","IEEE Conference Publications"
"Active Learning Environment for Achieving Higher-Order Thinking Skills in Engineering Education","D. Asok; A. M. Abirami; N. Angeline; R. Lavanya","Dept. of Inf. Technol., Thiagarajar Coll. of Eng., Madurai, India","2016 IEEE 4th International Conference on MOOCs, Innovation and Technology in Education (MITE)","20170925","2016","","","47","53","Higher-order thinking, known as higher order thinking skills (HOTS), is a conception of education reorganization based on learning taxonomy. Skills involving analysis, evaluation and synthesis are considered to be of higher order, requiring diverse learning and teaching methods than the customary learning of facts and concepts. HOTS involves the learning of complex judgmental skills such as critical thinking and problem solving. They are activated when individuals encounter unfamiliar problems, uncertainties, questions, or dilemmas. Successful application of the skills results in justifications, decisions, performances, and products that are valid within the context of existing knowledge that encourages continued growth in other intellectual skills. The major difficulty in attaining HOTS among engineering students is that we still pursue the traditional approach of teacher-centered classroom where the teacher is an active transmitter and the students are passive recipients. To achieve HOTS among engineering students we establish an Active Learning Environment (ALE) with the effective usage of Information and communication technologies (ICT). Active learning is embodied in a learning environment where the teachers and students are actively engaged with the content through discussions, problem-solving, critical thinking, or a multitude of activities that encourage interaction among learners, instructors and the material. Supporting to active learning, the ICT usage lends itself to more student-centered learning. This paper demonstrates the strategies to achieve HOTS through various ALE strategies like Role Play, Jigsaw, Brainstorming, debate, Mind map etc for Concept Understanding and Group assignments, combined mini projects, Discussion on Topics, Quiz, and Puzzles for Concept Applying. We have applied various learning strategies and assessed the student outcomes. HOTS is achieved by developing applications or products, with improved inter personal skills and lifelo- g learning skills. The evidence for the effectiveness of ALE among engineering students is showed by great improvement in their academic result, placement record and research interests","","Electronic:978-1-5090-1062-2; POD:978-1-5090-1063-9","10.1109/MITE.2016.020","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8049054","Active Learning Environment;Higherorder thinking;Information and communication technologies;student-centered learning","Engineering students;Information and communication technology;Problem-solving;Tools","engineering education;teaching","ALE;HOTS;ICT;active learning environment;diverse learning;diverse teaching;engineering education;engineering students;higher-order thinking skills;information and communication technologies;intellectual skills;learner interaction;student-centered learning;teacher-centered classroom","","","","","","","","9-10 Dec. 2016","","IEEE","IEEE Conference Publications"
"Providing improved services to citizens, a critical review of E-government facilities","K. Sunassee; T. Vythilingum; R. K. Sungkur","Department of Software and Information Systems, Faculty of Information, Communication and Digital Technologies, University of Mauritius, R&#x00E9;duit, Mauritius","2017 1st International Conference on Next Generation Computing Applications (NextComp)","20170824","2017","","","129","134","Information Technology has now become an important pillar of the Mauritian economy. Every citizen in the society of different ages or social positions are benefiting from it. Inhabitants of Mauritius now have faster and more reliable internet, better mobile services and an increasing use of smart phones with applications dealing in our everyday life. Government has put a major focus on using E-services for easing processes in most, if not all of their Ministries. Governments have quickly realised the benefits to be reaped from early adoption of technology. With the advent of globalisation, better awareness and communication has paved the way for developing strategies to enable a citizen centric approach in the provision of ubiquitous on-line services to the population. This country wide approach to empower citizens by the rolling out of on-line services in the areas such as education, health, civil service, transport, judiciary, business, finance and security, to name a few, has been more than beneficial. This paper outlines the benefits that can be derived from e-Services and describes potential barriers for its proper adoption. Some implementations of E-government services are discussed whilst highlighting the strengths, weaknesses and lessons that can be learnt from each of these implementations.","","DVD:978-1-5386-3830-9; Electronic:978-1-5386-3831-6; POD:978-1-5386-3832-3","10.1109/NEXTCOMP.2017.8016187","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8016187","E-Governance;E-Government;E-Readiness;G2C;I-Government;M-Government","Computers;Electronic government;Finance;Portals;Security","Internet;government data processing;mobile computing;smart phones","Internet;Mauritian economy;Mauritius inhabitants;business;citizen centric approach;civil service;e-government facilities;e-government services;education;finance;globalisation;government e-services;health;information technology;judiciary;mobile service;security;smart phones;social position;technology adoption;transport;ubiquitous online service","","","","","","","","19-21 July 2017","","IEEE","IEEE Conference Publications"
"Modeling the continuance usage intention of game-based learning in the context of collaborative learning","Y. M. Shiue; Y. C. Hsu; Y. C. Liang","Chia-Nan University of Pharmacy of Science, China","2017 International Conference on Applied System Innovation (ICASI)","20170724","2017","","","1106","1109","Growing attention is being paid to the use of game-based learning in education, due to the rapid progress of information technology Internet. Students need to cultivate not only their own abilities, but also the ability of collaboration after graduation. However, collaboration must be directed by appropriate guidance in order to demonstrate the expected results, the rules of the game guide can be applied to achieve this learning goal. Therefore, it will be meaningful to analyze the students' learning effectiveness in game based learning in the way of collaborative learning. In this study, we designed a digital history game of Ming Dynasty to apply collaborative learning strategy. The technology acceptance model (TAM) the theory of planned behavior (TPB) are incorporated in the study to hypothesize a complete model to investigate the continuance intention of collaboratively game-based learning environment. The results supported that usefulness, attitude and subjective norm had positive impacts on continued intention to use game-based learning in a collaborative learning environment.","","Electronic:978-1-5090-4897-7; POD:978-1-5090-4898-4","10.1109/ICASI.2017.7988196","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7988196","collaborative learning;continuance usage;game-based learning;technology acceptance model;theory of planned behavior","Analytical models;Collaboration;Collaborative work;Computers;Conferences;Education;Games","computer aided instruction;computer games;groupware","Internet;Ming Dynasty;TAM;TPB;collaborative learning strategy;digital history game;education;game-based learning;technology acceptance model;theory of planned behavior","","","","","","","","13-17 May 2017","","IEEE","IEEE Conference Publications"
"A teacher training workshop to promote the use of the VISIR remote laboratory for electrical circuits teaching","C. Arguedas-Matarrita; S. Beatriz Concari; J. García-Zubía; S. T. Marchisio; U. Hernández-Jayo; G. R. Alves; I. Uriarte-Canivell; M. C. Villalobos; I. Gustavsson; F. U. Elizondo","Escuela de Ciencias Exactas y Naturales - C&#x00E1;tedra de F&#x00ED;sica, Universidad Estatal a Distancia, Costa Rica","2017 4th Experiment@International Conference (exp.at'17)","20170720","2017","","","1","6","The learning of Physics involves building up and using lab experiments. In turn, teachers must be trained in experimenting and using several resources that enable them to design valuable teaching strategies and learning activities. Thanks to Information and Communication Technologies (ICT), virtual and remote labs can provide a framework where physical experiments can be developed. Although remote labs have been in use for over a decade now in several countries and levels of education, its use at secondary schools in Latin America has not been reported yet. The Virtual Instruments System in Reality (VISIR) is one of these remote labs, suitable to practice in the area of electrical circuits. This paper aims at describing how this remote lab was used in a training workshop for secondary school level teachers of Physics in Costa Rica.","","Electronic:978-1-5386-0810-4; POD:978-1-5386-0811-1","10.1109/EXPAT.2017.7984351","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7984351","VISIR;electrical circuits;physics;remote labs;teacher training","Conferences;Electrical resistance measurement;Instruments;Physics;Resistance;Training","computer aided instruction;electrical engineering computing;electrical engineering education;physics education;teacher training;virtual reality","Costa Rica;ICT;VISIR remote laboratory;electrical circuits teaching;information and communication technologies;lab experiments;learning activities;physics learning;secondary school level teachers;teacher training workshop;teaching strategies;virtual instruments system in reality;virtual labs","","","","","","","","6-8 June 2017","","IEEE","IEEE Conference Publications"
"A Study on Perception of Managing Infectious Disease through Social Networking in the Kingdom of Saudi Arabia","F. A. Alanezi; F. Hussain; H. Q. Yu","Bedfordshire Univ., Luton, UK","2016 IEEE Intl Conference on Computational Science and Engineering (CSE) and IEEE Intl Conference on Embedded and Ubiquitous Computing (EUC) and 15th Intl Symposium on Distributed Computing and Applications for Business Engineering (DCABES)","20170717","2016","","","652","655","The impact of infectious disease on the human population is very dangerous as it could cause severe damage, disruption in human life and can result in many deaths. There is an immediate need for effectively managing the infectious diseases and stop their spreading across other regions. The Infectious Disease management (IDM) process in a country like the Kingdom of Saudi Arabia (KSA), which is one of the developing countries with wide range of healthcare complications, and being one of the countries with high tourist inflow (hajj tourists) has to be very effective and efficient. Considering these factors, this paper presents the preliminary results of the stage one of the research work intended for developing a web IDM system integrating social networking concept. The study presented in this paper followed a mixed method strategy using survey questionnaires and the interviews as the part of data collection and analysis for assessing the perception of IDM through social networking in KSA. The outcome of the study indicated that most of the young participants supported the idea of using social networking in IDM. Other key outcomes include high level acceptance of using web technology and social networking with mapping strategy for creating awareness among the patients through education and information exchange. within the participation.","","Electronic:978-1-5090-3593-9; POD:978-1-5090-3594-6","10.1109/CSE-EUC-DCABES.2016.255","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7982317","Kingdom of Saudi Arabia;Web infectious disease management;e-health;infectious disease;social networking for healthcare","Infectious diseases;Instruments;Interviews;Social network services;Tools","Internet;cognition;diseases;health care;psychology;social networking (online)","KSA;Kingdom of Saudi Arabia;health care complications;infectious disease management;mixed method strategy;perception;social networking;web IDM system","","","","","","","","24-26 Aug. 2016","","IEEE","IEEE Conference Publications"
