type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
article,1352784,Suresh K.  Bhavnani and Frederick A.  Peck and Frederick  Reif,,,,Strategy-Based Instruction: Lessons Learned in Teaching the Effective and Efficient Use of Computer Applications,2:1--2:43,2,43,"Strategies, strategy-based instruction, teaching, training",10.1145/1352782.1352784,ACM Trans. Comput.-Hum. Interact.,May-08,15,1,,May,2008,1073-0516,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2247583,Daniela  Damian and Marian  Petre and Mariel  Miller and Allyson F. Hadwin,,,,Instructional Strategies in the EGRET Course: An International Graduate Forum on Becoming a Researcher,41--45,,5,"computer science education, computer-supported collaborative learning, instructional design",10.1145/2247569.2247583,,,,,,,2012,,Proceedings of the Seventeenth Western Canadian Conference on Computing Education,WCCCE '12,,978-1-4503-1407-7,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA",computing education strategies
article,1822206,Petek  A&#351;kar,,,,Computer Science Education in Turkey,328--328,,1,computer science education,10.1145/1822090.1822206,,,,,,,2010,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing education strategies
article,2760008,Richard J. Self,,,,"Governance Strategies for the Cloud, Big Data, and Other Technologies in Education",630--635,,6,"big data, cloud, education, emerging technology, governance, strategy",10.1109/UCC.2014.101,,,,,,,2014,,Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing,UCC '14,,978-1-4799-7881-6,,IEEE Computer Society,"Washington, DC, USA",computing education strategies
article,2445232,Richard A. Brown and Joel C. Adams and David P. Bunde and Jens  Mache and Elizabeth  Shoop,,,,Strategies for Adding the Emerging PDC Curriculum Recommendations into CS Courses,109--110,,2,"curricular recommendations, curriculum, distributed computing, education, parallel computing, parallelism",10.1145/2445196.2445232,,,,,,,2013,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computing education strategies
article,2325410,Lavy  Bunimovich,,,,Teachers' Perception of Teaching Problem-solving Strategies to Novices,393--393,,1,"k-12, problem-solving strategies",10.1145/2325296.2325410,,,,,,,2012,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computing education strategies
article,1500921,Petko  Ruskov and Yanka  Todorova,,,,Building the Academic Strategy Program,37:IIIB.2--37:1,37,,"balanced scorecard program, innovative research and education strategy",10.1145/1500879.1500921,,,,,,,2008,,Proceedings of the 9th International Conference on Computer Systems and Technologies and Workshop for PhD Students in Computing,CompSysTech '08,,978-954-9641-52-3,"Gabrovo, Bulgaria",ACM,"New York, NY, USA",computing education strategies
article,1734285,Valerie  Barr and Chun Wai  Liew and Rich  Salter,,,,Building Bridges to Other Departments: Three Strategies,64--65,,2,"computational science, non-majors, outreach",10.1145/1734263.1734285,,,,,,,2010,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computing education strategies
article,1508941,Craig  Mundie,,,,Rethinking Computing,203--203,,1,computing,10.1145/1539024.1508941,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1508941,Craig  Mundie,,,,Rethinking Computing,203--203,,1,computing,10.1145/1508865.1508941,,,,,,,2009,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computing education strategies
article,330837,Kay  Wiese and Scott D. Goodwin,,,,Keep-best Reproduction: A Selection Strategy for Genetic Algorithms,343--348,,6,"applications, selection strategies",10.1145/330560.330837,,,,,,,1998,,Proceedings of the 1998 ACM Symposium on Applied Computing,SAC '98,,0-89791-969-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education strategies
article,1508889,Daniel D. Garcia and Robb  Cutler and Zachary  Dodds and Eric  Roberts and Alison  Young,,,,"Rediscovering the Passion, Beauty, Joy, and Awe: Making Computing Fun Again, Continued",65--66,,2,computer science education,10.1145/1539024.1508889,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1508889,Daniel D. Garcia and Robb  Cutler and Zachary  Dodds and Eric  Roberts and Alison  Young,,,,"Rediscovering the Passion, Beauty, Joy, and Awe: Making Computing Fun Again, Continued",65--66,,2,computer science education,10.1145/1508865.1508889,,,,,,,2009,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computing education strategies
article,2677252,Mary Lou  Maher and Celine  Latulipe and Heather  Lipford and Audrey  Rorrer,,,,Flipped Classroom Strategies for CS Education,218--223,,6,"flipped classroom, online video, strategies for active learning",10.1145/2676723.2677252,,,,,,,2015,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computing education strategies
article,2449329,Michael  de Raadt and Mark  Toleman and Richard  Watson,,,,Incorporating Programming Strategies Explicitly into Curricula,41--52,,12,"curriculum, introductory programming, programming strategies",,,,,,,,2007,,Proceedings of the Seventh Baltic Sea Conference on Computing Education Research - Volume 88,Koli Calling '07,,978-1-920682-69-9,"Koli National Park, Finland","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,2844561,Michelle  Craig and Diane  Horton and Daniel  Zingaro and Danny  Heap,,,,Introducing and Evaluating Exam Wrappers in CS2,285--290,,6,"cs2, exam wrappers, experiment, metacognition, study strategies",10.1145/2839509.2844561,,,,,,,2016,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
article,1734412,Alex  Gerdes and Johan T. Jeuring and Bastiaan J. Heeren,,,,Using Strategies for Assessment of Programming Exercises,441--445,,5,"automatic assessment, functional programming, haskell, strategies",10.1145/1734263.1734412,,,,,,,2010,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computing education strategies
article,2811551,Sung Kwan Kang and Joon Seup Cha and Su Kyung Ban,,,,Strategy on Designing an On-demand Training Course for University SW Education,382--383,,2,"SW education model, education, field suitability, on-demand",10.1145/2811411.2811551,,,,,,,2015,,Proceedings of the 2015 Conference on Research in Adaptive and Convergent Systems,RACS,,978-1-4503-3738-0,"Prague, Czech Republic",ACM,"New York, NY, USA",computing education strategies
article,365107,Suresh K. Bhavnani and Frederick  Reif and Bonnie E. John,,,,Beyond Command Knowledge: Identifying and Teaching Strategic Knowledge for Using Complex Computer Applications,229--236,,8,"GOMS, instruction, strategies, training",10.1145/365024.365107,,,,,,,2001,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '01,,1-58113-327-8,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing education strategies
article,2855353,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Assessment-driven Course Design Foundational Patterns,31:1--31:13,31,13,"assessment, education, educational patterns",10.1145/2855321.2855353,,,,,,,2015,,Proceedings of the 20th European Conference on Pattern Languages of Programs,EuroPLoP '15,,978-1-4503-3847-9,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing education strategies
article,2807715,Olgun  Sadik,,,,Encouraging Women to Become CS Teachers,57--61,,5,"Computers science education, gender, teacher education, women",10.1145/2807565.2807715,,,,,,,2015,,Proceedings of the Third Conference on GenderIT,GenderIT '15,,978-1-4503-3596-6,"Philadelphia, PA, USA",ACM,"New York, NY, USA",computing education strategies
article,222177,Maria  Klawe and Eileen  Phillips,,,,A Classroom Study: Electronic Games Engage Children As Researchers,209--213,,5,"classroom strategies, computer-supported collaborative learning, electronic games, human-computer interaction, mathematics education",10.3115/222020.222177,,,,,,,1995,,The First International Conference on Computer Support for Collaborative Learning,CSCL '95,,0-8058-2243-7,"Indiana Univ., Bloomington, Indiana, USA",L. Erlbaum Associates Inc.,"Hillsdale, NJ, USA",computing education strategies
article,1140187,Stefan A. Robila and James W. Ragucci,,,,Don'T Be a Phish: Steps in User Education,237--241,,5,"computer education, education, information security, phishing",10.1145/1140123.1140187,SIGCSE Bull.,Sep-06,38,3,,June,2006,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1140187,Stefan A. Robila and James W. Ragucci,,,,Don'T Be a Phish: Steps in User Education,237--241,,5,"computer education, education, information security, phishing",10.1145/1140124.1140187,,,,,,,2006,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computing education strategies
article,1352191,Laurie  Murphy and Gary  Lewandowski and Ren&#233;e  McCauley and Beth  Simon and Lynda  Thomas and Carol  Zander,,,,"Debugging: The Good, the Bad, and the Quirky -- a Qualitative Analysis of Novices' Strategies",163--167,,5,"debugging, novice programming, pedagogy, strategies",10.1145/1352135.1352191,,,,,,,2008,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computing education strategies
article,1352191,Laurie  Murphy and Gary  Lewandowski and Ren&#233;e  McCauley and Beth  Simon and Lynda  Thomas and Carol  Zander,,,,"Debugging: The Good, the Bad, and the Quirky -- a Qualitative Analysis of Novices' Strategies",163--167,,5,"debugging, novice programming, pedagogy, strategies",10.1145/1352322.1352191,SIGCSE Bull.,Mar-08,40,1,,March,2008,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2702261,Jonathan  Waddington and Conor  Linehan and Kathrin  Gerling and Kieran  Hicks and Timothy L. Hodgson,,,,Participatory Design of Therapeutic Video Games for Young People with Neurological Vision Impairment,3533--3542,,10,"games, rehabilitation, therapy, vision, young people",10.1145/2702123.2702261,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA",computing education strategies
article,3136914,Sanjay  Vasudeva and Kay  Colthorpe and Hardy  Ernst,,,,Student-initiated Mobile Learning in Higher Education,34:1--34:4,34,4,"Biomedical Sciences, Higher education, Mobile-learning, Self-regulated learning strategies",10.1145/3136907.3136914,,,,,,,2017,,Proceedings of the 16th World Conference on Mobile and Contextual Learning,mLearn 2017,,978-1-4503-5255-0,"Larnaca, Cyprus",ACM,"New York, NY, USA",computing education strategies
article,2043595,Linda  Marshall,,,,Developing a Computer Science Curriculum in the South African Context,9--19,,11,education,,,,,,,,2011,,Computer Science Education Research Conference,CSERC '11,,978 90 358 1987 0,"Heerlen, Netherlands","Open Universiteit, Heerlen","Open Univ., Heerlen, The Netherlands, The Netherlands",computing education strategies
article,2691356,Hieke  Keuning and Bastiaan  Heeren and Johan  Jeuring,,,,Strategy-based Feedback in a Programming Tutor,43--54,,12,"feedback generation, programming strategies, programming tutor",10.1145/2691352.2691356,,,,,,,2014,,Proceedings of the Computer Science Education Research Conference,CSERC '14,,978-1-4503-3347-4,"Berlin, Germany",ACM,"New York, NY, USA",computing education strategies
article,1565811,W. Richards Adrion and Renee  Fall,,,,Broadening Participation: A Community College Strategy,46--51,,6,"broadening participation in computing, community colleges, information technology education and workforce",10.1145/1565799.1565811,,,,,,,2009,,"The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations",TAPIA '09,,978-1-60558-217-7,"Portland, Oregon",ACM,"New York, NY, USA",computing education strategies
article,2814145,Marcelo  Ladeira and Fernando de Albuquerque Linhares,,,,A Verbal Anchor Based Fuzzy System to Help Business Managers Build Balanced Scorecards Strategy Maps,73:549--73:554,73,6,"Balanced Scorecard, Fuzzy Systems, Strategy, Strategy Maps",,,,,,,,2015,,Proceedings of the Annual Conference on Brazilian Symposium on Information Systems: Information Systems: A Computer Socio-Technical Perspective - Volume 1,SBSI 2015,,,"Goiania, Goias, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",computing education strategies
article,274379,Guey-Fa  Chiou and Cheng-Chi  Wu,,,,A Computer Curriculum Guideline for Junior High Schools in Taiwan: Its Impacts and Issues,21--29,,9,"computer curriculum, computer education, computer education policy, curriculum guideline",10.1145/274375.274379,SIGCUE Outlook,Jan./April 1997,25,2-Jan,,January,1997,0163-5735,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1508867,Elliot B. Koffman,,,,All I Really Need to Know I Learned in CS1,1--1,,1,education,10.1145/1539024.1508867,SIGCSE Bull.,Mar-09,41,1,,March,2009,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1508867,Elliot B. Koffman,,,,All I Really Need to Know I Learned in CS1,1--1,,1,education,10.1145/1508865.1508867,,,,,,,2009,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computing education strategies
